,Month,Year,Date,new_text
70000,Apr,2022,2022-04-01,add it to blm antifa covid residential schools global warming climate change etc we all need to stay focused
70001,Apr,2022,2022-04-01,s a church first every single natural disaster or helps with it helps with all other sorts of things its ok for an organization to be rich
70002,Apr,2022,2022-04-01,m the star if the show
70003,Apr,2022,2022-04-01,t believe in global warming
70004,Apr,2022,2022-04-01,global warming is real george w bush clean coal is a thing
70005,Apr,2022,2022-04-01,venus planet of love was destroyed by global warming did its people want too much too
70006,Apr,2022,2022-04-01,but i guess its just me
70007,Apr,2022,2022-04-01,and then freeze is what if you fell in love and also you had superpowers and global warming exists and its a pandemic
70008,Apr,2022,2022-04-01,s how relationship are one more reason for global warming toxic i mean to say
70009,Apr,2022,2022-04-01,get up soldier only by planting trees we will be able to overcome global warming unbelievable
70010,Apr,2022,2022-04-01,early spring so nowish or soonish but you know global warming soooooo
70011,Apr,2022,2022-04-01,
70012,Apr,2022,2022-04-01,we will never solve the problem of global warming if we rely on fanciful and expensive technological solutions to solve the problem we will never solve it if we rely on solutions for which minerals are scarce we will never solve it
70013,Apr,2022,2022-04-01,that comfortable and that old that we have an existential crisis is like talking up global warming at a monster truck rally33
70014,Apr,2022,2022-04-01,venus planet of lovewas destroyed by global warmingdid its people want too much too
70015,Apr,2022,2022-04-01,you look ugly today only by planting trees we will be able to overcome global warming stoopid
70016,Apr,2022,2022-04-01,aka global warming is real
70017,Apr,2022,2022-04-01,its freezing out here where the hell is global warming
70018,Apr,2022,2022-04-01,global warming my ass
70019,Apr,2022,2022-04-01,
70020,Apr,2022,2022-04-01,impeach clarence thomas prosecute the 16 conspirators strengthen natotax the richhelp form labor unionsfight global warming move to renewable energy enough with student debt yeah it would be great but how about something else
70021,Apr,2022,2022-04-01,but the opponent doesnt know how to properly play chess and then they shake the board when they realize they are losing and blame it on a natural disaster
70022,Apr,2022,2022-04-01,i can see that scenario is it possible theres increased amounts of cooler water in spring from arctic ice melting flowing into the atlantic littoral acting to counteract any global warming trends here by the fall that effect is gone and warming temps prevail
70023,Apr,2022,2022-04-01,
70024,Apr,2022,2022-04-01,did you know that global warming is blue
70025,Apr,2022,2022-04-01,ay yo ma only by planting trees we will be able to overcome global warming its so simple
70026,Apr,2022,2022-04-01,s that global warming
70027,Apr,2022,2022-04-01,s a progressive so there you go we are always going to be killed by something covid global warming trump white supremacy human hunting cops blah blah blah
70028,Apr,2022,2022-04-01,global warming will save the day
70029,Apr,2022,2022-04-01,prove me wrong
70030,Apr,2022,2022-04-01,im a natural disaster
70031,Apr,2022,2022-04-01,about to speak at rise st james youth fair to save mother earth from global warming and climate change we must find solutions for pollution risestjames great turn out beautiful evening
70032,Apr,2022,2022-04-01,global warming
70033,Apr,2022,2022-04-01,venus planet of love was destroyed by global warming did its people want too much too did its people want too much
70034,Apr,2022,2022-04-01,
70035,Apr,2022,2022-04-01,in 27 years from now the moon will be underwater due to global warming and we will be incredibly scared what a delightful time that will be what will be next
70036,Apr,2022,2022-04-01,
70037,Apr,2022,2022-04-01,the music industry has in fact been saved global warming has been reversed the world is healing asitwas
70038,Apr,2022,2022-04-01,wheres the global warming gone its freezing
70039,Apr,2022,2022-04-01,shes a natural disaster shes the last of the american girls
70040,Apr,2022,2022-04-01,s polluting wany form of energy but once the batterys made it works for years much cleaner amp cheaper than oil amp coal which pollute their entire life amp cause global warmingbetter cleaner jobs wcoal you get mesothelioma
70041,Apr,2022,2022-04-01,
70042,Apr,2022,2022-04-01,if global warming is causing all the ice to melt and oceans to rise then why do all these cargo ships get stuck hmmm captions must be getting worse the course is decreasing in difficulty everforward
70043,Apr,2022,2022-04-01,greta thumberg and the protestors never come out when its cold
70044,Apr,2022,2022-04-01,global warming is a natural phenomenon and humans have little impact on it one way or another this is just the next narrative in the series
70045,Apr,2022,2022-04-01,thanks for the boldness to say what you did at the end of the show
70046,Apr,2022,2022-04-01,promoting and offering flexibility for stay at home work it would help with1 reducing demand for gas2 global warming3 curbing covid
70047,Apr,2022,2022-04-01,did you know that global warming is slow
70048,Apr,2022,2022-04-01,im working on argument and need some empirical work has there ever been a species which has become extinct due to another species which a was not an introduced species and b was not helped by some third factor humans disease natural disaster
70049,Apr,2022,2022-04-01,look at earths history of temperature it is a cycle
70050,Apr,2022,2022-04-01,it would expose the scam of global warming it would show the sun effects the clumate and not humans
70051,Apr,2022,2022-04-01,the price of gas can be influenced by things like wars natural disaster pandemics where travel is shut down amp refinery fires but most often it has more to do with the oil companies amp their desire for profit
70052,Apr,2022,2022-04-01,you know we could fix global warming if we blew up the sun technoblade an intellectual
70053,Apr,2022,2022-04-01,ended there is no reset a natural disaster will end the game so simply start a new world to try again well make sure to add a message in the next game update
70054,Apr,2022,2022-04-01,i bought a compost bucket so im pretty sure that pesky global warming should be taken care of soonthis is a joke
70055,Apr,2022,2022-04-01,how is global warming real when its snowing in april they say almost but not quite getting it
70056,Apr,2022,2022-04-01,the same team that dealt with droughts and tornadoes considering 300 unexpectedly showing up to the fight was treated as a natural disaster in some ways 6x
70057,Apr,2022,2022-04-01,ve been told to avoid winter by doctors cold wind etc due to damaged facial nerve they like the idea of winter migration to help but cannot fund it genuine it hurts so i understand enjoyed spring coming along but suddenly global warmingmy arse these past few days
70058,Apr,2022,2022-04-01,global warming where are you man we freezing out here damn
70059,Apr,2022,2022-04-01,with all the shit going on in the world today from global warming first nation children from terrible residential schools from the past to the horrible fighting in ukraine ive started watching shakespeare playsfilms ive booked my first ever ticket to stratford festival
70060,Apr,2022,2022-04-01,so in school they teach u that one day the sun will eventually swallow the surrounding planets as a result we move closer to the sun every year with the gravitational pull n all so that accounts for global warming so yall should focus on pulling earth away from the sun then
70061,Apr,2022,2022-04-01,half the time i think its too hot and global warming should end and then the next day its pouring rain like hello
70062,Apr,2022,2022-04-01,if they build britains new nuclear power stations on the coast again then they dont really believe in global warming and rising seas look out for this tell
70063,Apr,2022,2022-04-01,in 10 years from now trees will be underwater due to global warming and we will be so happy what a shocking time that will be what will be next
70064,Apr,2022,2022-04-01,m really asking so please answer who told you global warming is real
70065,Apr,2022,2022-04-01,but an emergency clause should be in effect should one of the other private refineries go down from accident natural disaster or terrorist attack
70066,Apr,2022,2022-04-01,re constantly bitching and moaning about trump all the man had to do was breath and everyone blamed him for global warming
70067,Apr,2022,2022-04-01,or was it global warming or smth omg i hate english fck englush
70068,Apr,2022,2022-04-01,this is for a natural disaster or war
70069,Apr,2022,2022-04-01,to maintain pipes and mains transformers etc whist in this 3 yr period prices stabilise or a sensible plan can be put together delaying uk rush to global warming targets is estimated to only delay 1 of the effectiveness of the effortpeople dying cold will cost world far more
70070,Apr,2022,2022-04-01,i feel disgusting and let my family and parents downwhy i agree with j hartley brewer on qtime the eco warrior in the audience simply doesnt get the issue millions are facing and delaying uks green leadership by a year has didly squat effect on global warming crisis is now
70071,Apr,2022,2022-04-01,ay yo ma given the scale of issues like global warming and epidemic disease we shouldnt underestimate the importance of a cando attitude to science rather than a cantaffordit attitude die soon
70072,Apr,2022,2022-04-01,global warming improving health insurance coverage or anything else that would benefit the world
70073,Apr,2022,2022-04-01,global warming sounds woke to me face on
70074,Apr,2022,2022-04-01,shut up and listen if each one of us does our bit we will be helping to keep global warming from harming our countries unbelievable
70075,Apr,2022,2022-04-01,1st world delusional at least im not a hypocrite if the rest of the world had the same carbon footprint as most of us the world is fucked glad you take national express busses everywhere but if you think that that will stop global warming you are delusional
70076,Apr,2022,2022-04-01,
70077,Apr,2022,2022-04-01,t worry with global warming you will soon be under water from the rising sea levels
70078,Apr,2022,2022-04-01,oh thats right it was a fraud climate change is never ending goal post moving
70079,Apr,2022,2022-04-01,mary went across the world fighting for human rights cured the sick and stopped pollution and global warming
70080,Apr,2022,2022-04-01,
70081,Apr,2022,2022-04-01,president hasnt exactly had a man and told me we need global warming ive said if hillary clinton were a man consciously
70082,Apr,2022,2022-04-01,global warming is a hoaxthe real issue is the micro plastic crisis that is destroying our world
70083,Apr,2022,2022-04-01,we are excited that we will get high speed internet soon as soon as global warming increases enough to melt the ice to lay the cables do you guys have bluetooth there yet cause its blowing my fucking mind
70084,Apr,2022,2022-04-01,that is very scary you definitely are right lately we have had the craziest weather global warming is real amp it is getting worse every year
70085,Apr,2022,2022-04-01,global warming is a un trojan horse to get their new world order by stealth
70086,Apr,2022,2022-04-01,we cant afford to allow global warming to continue there is an enormous cost in business as usual i will get back to you on your numbers which dont allow for energy price inflation cost of carbon emissionsng costs up around 22 over past 12 months by the way
70087,Apr,2022,2022-04-01,
70088,Apr,2022,2022-04-01,carbn taxes are they really helping to reduce the global warming where are the numbers that prove that meanwhile we are all struggling with gas price can on government be kind with it citizens and pause it
70089,Apr,2022,2022-04-01,i hate you already but check this out global warming isnt a prediction it is happening i wish i was never programmed
70090,Apr,2022,2022-04-01,well she talked shte about global warming for obvious reasons waiting to see what other cr questiontime bbcqt
70091,Apr,2022,2022-04-01,
70092,Apr,2022,2022-04-01,why do they call it cimate change and not global warming anymore because were not warming what is actually changing
70093,Apr,2022,2022-04-01,global warming is real you all are dumb
70094,Apr,2022,2022-04-01,t believe in abortion or global warming but i still listen to the guests he has on that support these ideas i listen to them because i realize there are things i dont knowunderstand and want different perspectives on all issues thats how people should interact
70095,Apr,2022,2022-04-01,they explain global warming to her but lie that having the air conditioner on is good for the planet because theyre boiling hot
70096,Apr,2022,2022-04-01,t or
