,Tweet,Date,Year,Month
10000,t tell you its gonna rain with any level of certainty but they can tell you well all be dead in 12 years from global warming,2022-08-31 23:59:45+00:00,2022,8
10001,,2022-08-31 23:59:41+00:00,2022,8
10002,Ozone layer Then Global warming Now Climate Change The Earth will forever be changing As it did before us And as it will once were gone Weve always had hot summers and cold winters But a constant is the growth in the worlds pop,2022-08-31 23:58:35+00:00,2022,8
10003,Global Warming is real amp the damages are already here They were predicted over 20 years ago at a time when Republicans couldve done something They didnt As for an energy crisis why doesnt the GOP make an effort to help move away from fossil fuels amp move to other ways,2022-08-31 23:57:45+00:00,2022,8
10004,amp elsewhere we are not really prepared to stop using oilpowered vehicles amp machinery simply because the necessary infrastructure fast road charging amp other considerations is not adequate More needs to be done ASAP,2022-08-31 23:56:48+00:00,2022,8
10005,,2022-08-31 23:56:04+00:00,2022,8
10006,Global warming gotta be real,2022-08-31 23:54:32+00:00,2022,8
10007,,2022-08-31 23:52:48+00:00,2022,8
10008,Which major natural disaster would you MOST want to avoid,2022-08-31 23:49:51+00:00,2022,8
10009,,2022-08-31 23:49:30+00:00,2022,8
10010,they may tend to disagree with you about global warming,2022-08-31 23:49:29+00:00,2022,8
10011,Im sorry youre dealing with that We have 112 weather this weekend Luckily I have a ton of shade around my house not to mention actual Adobe tile throughout the house and Adobe tile roofing so the house stays at around 82 without ac Global warming,2022-08-31 23:48:56+00:00,2022,8
10012,Its 110 degrees in cali and 67 in san franscisco Global warming my ass mass coverup,2022-08-31 23:48:42+00:00,2022,8
10013,Tell us Lori what have you done to fight global warming increase funding for fuels management prepare for wildfire and help communities recovercue the crickets,2022-08-31 23:48:30+00:00,2022,8
10014,When will America address Global Warming Honestly and environmentally responsible,2022-08-31 23:46:28+00:00,2022,8
10015,We have global warming Love how you have EV snowblowers in the photo,2022-08-31 23:45:52+00:00,2022,8
10016,I wish that I was a famous enough chef that when I cooked at home there would be a cleanup crew that would take care of the wreckage left behind that looks like a natural disaster hit my kitchen,2022-08-31 23:44:42+00:00,2022,8
10017,Currently watching Katrina Babies and im reminded of the book The Body Keeps Score It talks about 3 instances in life that changes your brain chemistry 1 serving in a war 2 physicalsexual abuse 3 surviving a natural disaster,2022-08-31 23:44:09+00:00,2022,8
10018,is it global warming that caused it or global warming that hasnt caused one in 35 years,2022-08-31 23:43:12+00:00,2022,8
10019,Not being an expert in this area and only finding a few ways to get an exemption rebuilding from natural disaster more then 50 shaded zone and if its a cabin not used for year round residence I couldnt tell you how they got permits,2022-08-31 23:42:58+00:00,2022,8
10020,this article seems to illustrate moreso the fact that geography and location play the biggest role in natural disaster aid discrepancies not race Also this focuses more on pollution than natural disasters,2022-08-31 23:42:50+00:00,2022,8
10021,t trust them to just drive around all day snorting cocaine and picking up underage hookers It all contributes to global warming,2022-08-31 23:42:49+00:00,2022,8
10022,its due to global warming TheElephantInTheRoom TheElephantInTheRoom,2022-08-31 23:42:20+00:00,2022,8
10023,They cant prove global warming so they had to switch to climate change to prevent lawsuits,2022-08-31 23:41:16+00:00,2022,8
10024,So now that global warming is causing worldwide droughts and flooding in some areas how long will governments of the world wait to implement drastic changes,2022-08-31 23:40:46+00:00,2022,8
10025,Thank fuck for global warming EnergyCrisis,2022-08-31 23:40:35+00:00,2022,8
10026,record highs after record highs Global Warming sucks,2022-08-31 23:40:30+00:00,2022,8
