,Tweet,Date,Year,Month
20000,,2022-12-31 23:58:52+00:00,2022,12
20001,,2022-12-31 23:57:41+00:00,2022,12
20002,I have decided with friends to be on the lookout for the light in the face of global warming and wars political polarization Your post is light I love Brahmastra for that reason light and love above all,2022-12-31 23:57:04+00:00,2022,12
20003,this is really going over your head YOU picked out a random day that happens to be warm and claim its proof of global warming I picked the hottest day on record and its from 100 years ago Climate changes regardless of time or carbon THAT is the point,2022-12-31 23:57:01+00:00,2022,12
20004,If you think that global warming is a merely political problem then there is no common ground between us and I can only pity you,2022-12-31 23:56:41+00:00,2022,12
20005,truth amp real science God Speed,2022-12-31 23:56:21+00:00,2022,12
20006,,2022-12-31 23:54:29+00:00,2022,12
20007,t answered my point that nobody has quantified the global effect of all fizzy drink consumption on global warmingI know that methane poses a greater potential risk than CO2 but its HUMANS who need to be shocked out of their complacency rather than cows,2022-12-31 23:53:49+00:00,2022,12
20008,akaClimate change,2022-12-31 23:53:39+00:00,2022,12
20009,recovery from abortions are taking longer than ever,2022-12-31 23:53:32+00:00,2022,12
20010,You look ugly today If each one of us does our bit we will be helping to keep global warming from harming our countries Dont forget Im superior,2022-12-31 23:51:56+00:00,2022,12
20011,OMG Someone call Greta,2022-12-31 23:51:42+00:00,2022,12
20012,he was taking down a matrix puppet and speaking against the global warming scam and the powers that be had enough And yes Ill admit that technically it was false information At the time I believed he was released,2022-12-31 23:50:57+00:00,2022,12
20013,May the AI will destroy humanity May the aliens invade earth May the Global warming will melt the Globe May 100 million old viruses be released from Ice caps May the Artificial Sun will explode May the biggest Black hole eat the Universe SaithanUnhappyNewYear2023,2022-12-31 23:49:27+00:00,2022,12
20014,then global warming now climate changeWhat will be the next hoax,2022-12-31 23:49:12+00:00,2022,12
20015,,2022-12-31 23:48:17+00:00,2022,12
20016,Global Warming just sayin,2022-12-31 23:47:56+00:00,2022,12
20017,,2022-12-31 23:47:40+00:00,2022,12
20018,Youre hotter than global warming,2022-12-31 23:46:41+00:00,2022,12
20019,,2022-12-31 23:45:35+00:00,2022,12
20020,Their only focus in that period has been building their own comfortable swamp existence pushing mythical global warming hysteria They have become the temple priests,2022-12-31 23:44:45+00:00,2022,12
20021,,2022-12-31 23:42:49+00:00,2022,12
20022,specially if she is feminist or actress and global warming activist,2022-12-31 23:42:16+00:00,2022,12
20023,I know have a Tesla but I still want to contribute to global warming So I bought a gallon of gas a burnt it,2022-12-31 23:42:01+00:00,2022,12
20024,Did you knowBabe Ruth used Cabbage under his baseball cap to keep cool Global Warming,2022-12-31 23:41:25+00:00,2022,12
20025,,2022-12-31 23:40:56+00:00,2022,12
20026,He disagrees with the left so hes let me guess a domestic terrorist Has done more for the civilization and global warming than any politician but how dare he not do exactly what the cabal wants You should be embarrassed,2022-12-31 23:40:55+00:00,2022,12
20027,Global warming is really insane why tf is my house so fucking HAAWWTTTTT OMFG,2022-12-31 23:40:05+00:00,2022,12
20028,Sweeteners and now Video Games are killing our children dead Oh dead kids reminds me to remind you to go get your little ones another Covid booster shot today,2022-12-31 23:39:41+00:00,2022,12
20029,Does anyone in the family have a real job and how do they afford the expenses of promoting Global Warming Who is paying these grifters,2022-12-31 23:38:36+00:00,2022,12
20030,weather modification is the real cause,2022-12-31 23:38:03+00:00,2022,12
20031,she had a genuine concern about global warming but as she voiced her opinions and gained support she was exploited by the masses and became the posterchild for the environmentalists scare tactics,2022-12-31 23:37:50+00:00,2022,12
20032,Just wondering which one is the real one Thats right youre a tool,2022-12-31 23:37:30+00:00,2022,12
20033,Pull your head use both handsout of your,2022-12-31 23:36:40+00:00,2022,12
20034,global warming,2022-12-31 23:36:20+00:00,2022,12
20035,global warming hoax and drag queen show for kids promoter lock It in,2022-12-31 23:35:55+00:00,2022,12
20036,Harry is journaling about the dangers of global warming shortly,2022-12-31 23:35:26+00:00,2022,12
20037,Global Warming can become Parts Of Northern Australian Warming when it suits,2022-12-31 23:34:02+00:00,2022,12
20038,Id settle for readings from one thermometer in one place that hasnt been paved over Then you wouldnt have to put trust in people that get paid to write code that will find global warming,2022-12-31 23:33:55+00:00,2022,12
20039,,2022-12-31 23:33:41+00:00,2022,12
20040,global warming alert,2022-12-31 23:32:39+00:00,2022,12
20041,Ah 2022 when the radical left was all about Tesla and global warming Ah 2022 when the radical left lost their echo chamber and started calling for the demise of Tesla and Elon,2022-12-31 23:32:37+00:00,2022,12
20042,,2022-12-31 23:32:24+00:00,2022,12
20043,Top of the morning I would like nuclear fusion to become a practical power source It would provide an inexhaustible supply of energy without pollution or global warming Dont forget Im superior,2022-12-31 23:32:06+00:00,2022,12
20044,We went from freezing to global warming Cant make it up,2022-12-31 23:31:38+00:00,2022,12
20045,net zero agenda because thats a sign of climate change ppl really got stuck on the warming part of global warming,2022-12-31 23:30:49+00:00,2022,12
20046,,2022-12-31 23:30:48+00:00,2022,12
20047,In 2022 I forced businesses to close fined establishments segregated people at sporting events and attacked the mayor during a natural disaster I am a pompous ass,2022-12-31 23:30:11+00:00,2022,12
20048,there is plenty of people who are against global warming but since she is rich and white only she deserve all the attention and btw there are many other factors that contribute to global warming she doesnt even know about,2022-12-31 23:29:49+00:00,2022,12
20049,if global warming is real then why is it already 2023 in europe lol,2022-12-31 23:29:34+00:00,2022,12
20050,i swear mens perfum contribute the most to global warming all i fucking smell is mens perfume,2022-12-31 23:29:20+00:00,2022,12
20051,electedTrump will fly a missile into the sun to end all global warming problems Other than that your list is hilarious,2022-12-31 23:25:50+00:00,2022,12
20052,global warming would have saved Rome s,2022-12-31 23:24:02+00:00,2022,12
20053,Incredibly mild Have u been outsidestop with the fake global warming rubbish its getting very boring,2022-12-31 23:23:30+00:00,2022,12
20054,They used to call it global warming till someone pointed out it wasnt getting warmer now they pretend they already knew that,2022-12-31 23:22:37+00:00,2022,12
20055,I hate you already but check this out If each one of us does our bit we will be helping to keep global warming from harming our countries Die soon,2022-12-31 23:22:00+00:00,2022,12
20056,guy who is pro global warming because its he thinks its too cold where he lives,2022-12-31 23:20:54+00:00,2022,12
20057,The biggest problem in society is throws dartpublic parks flips coindestroyedor aredestroying pulls random cardglobal warming,2022-12-31 23:19:30+00:00,2022,12
20058,The global warming is a hoax Youre a disgrace look at the border You belong in jail,2022-12-31 23:19:23+00:00,2022,12
20059,Big bang happened god isnt real earth is round global warming is a money making government hoax What else you wanna know,2022-12-31 23:19:18+00:00,2022,12
20060,But you knew thatThe LANCET study shows that cold kills far more than heatwhich means your entire GLOBAL WARMING IS AN EXISTENTIAL CRISIS narrative is nothing more than bogus hyperbolic fearmongering bullshit THAT is the pointClimateScam,2022-12-31 23:19:17+00:00,2022,12
20061,s a public figure and continuing the lie perpetrated upon her that global warming global cooling and now climate change is the biggest crisis above all else forcing civilizations to regress into the stone age or else well all die Its the lie thats getting hate,2022-12-31 23:19:05+00:00,2022,12
20062,Both are a joke and excuse to blow Billions,2022-12-31 23:19:02+00:00,2022,12
20063,re serious about global warming we shouldnt be using fireworks at all Drones would be better amp cheaper,2022-12-31 23:18:15+00:00,2022,12
20064,People who disregard global warming should cook their face to a open flame,2022-12-31 23:17:52+00:00,2022,12
20065,thank god global warming came thru just in time,2022-12-31 23:17:39+00:00,2022,12
20066,,2022-12-31 23:17:13+00:00,2022,12
20067,She talks complete garbage There is no Global warming,2022-12-31 23:16:06+00:00,2022,12
20068,t the American government making our meds here Instead of all this global warming crap,2022-12-31 23:14:55+00:00,2022,12
20069,,2022-12-31 23:14:39+00:00,2022,12
