,Tweet,Date,Year,Month
30000,cuba etc amp high inflation But it isnt easy now especially since nuc lear added to global warming,2022-02-28 23:59:58+00:00,2022,2
30001,Theyve silenced thousands of scientists who truly are experts in their field This is ludicrous,2022-02-28 23:59:43+00:00,2022,2
30002,s our major problem global warming what Putins doing is just keeping the country distracted from all his failures and Putin is destroying global warming as he keeps on bombing Do some fixing of that Joe blow produce all the gas we possibly can nowamprid theof Putin,2022-02-28 23:59:36+00:00,2022,2
30003,The past two years we didnt hear crap about global warming All the sudden its back in time for the midterms and of course worse then the experts expected Lamestream media and the Libs dont have a single accomplishment to run on so bring out the fear of extinction LOSERS,2022-02-28 23:59:07+00:00,2022,2
30004,,2022-02-28 23:58:45+00:00,2022,2
30005,,2022-02-28 23:58:36+00:00,2022,2
30006,replacing of peoples trust in fiat currencies to crypto currencies because of being not able to access your wealth in centralized banksentities during a warnatural disaster and being able to take ur crypto to anywhere in the world with no fear of losing it,2022-02-28 23:57:45+00:00,2022,2
30007,Grim news about global warming today Strange that something so critically important is a political football,2022-02-28 23:56:38+00:00,2022,2
30008,global warming is real,2022-02-28 23:56:28+00:00,2022,2
30009,the original term b4 denialists diluted to climate change report is soon NOT even adaptation will be achievable let alone mitigation,2022-02-28 23:56:16+00:00,2022,2
30010,things to worry about now includeglobal warmingenergy and fuel price risesBrexitCovidBoris fkin Johnson and his croniesand nuclear warand its still only Monday,2022-02-28 23:56:05+00:00,2022,2
30011,Venus planet of loveWas destroyed by global warmingDid its people want too much too,2022-02-28 23:54:49+00:00,2022,2
30012,the result of which was at least partially informed by the floods last July the deadliest natural disaster in Germany since the North Sea flood of 1962,2022-02-28 23:54:43+00:00,2022,2
30013,You willING on you,2022-02-28 23:54:08+00:00,2022,2
30014,Lack of rain Icebergs melting So that didnt work so lets now say climate change You lefties are screwed,2022-02-28 23:54:07+00:00,2022,2
30015,m petty so I think the next time there is a natural disaster in Florida besides DeSantis I mean Biden should tweet out that he is rejecting the request,2022-02-28 23:53:54+00:00,2022,2
30016,Impacts of global warming are now irreversible but it is still possible to avoid the worst of what climate change will bringNot if the media fail to give it due prominence,2022-02-28 23:53:41+00:00,2022,2
30017,Which Natural Disaster u WISH We didnt Had on this Plant earthFollow Me 1000 votes earthquake hurricane tornado I Wish we didnt Had earthquakes on this earthTell Why u Dont want one following on this planet,2022-02-28 23:52:46+00:00,2022,2
30018,ve known about global warming for decades but done nothing 1 uses more than 2X the bottom 50 Instead of cut back they consider exploding an asteroid to block the Sun or nuclear winter amp extreme luxury underground dwellings to live during unrest,2022-02-28 23:52:46+00:00,2022,2
30019,thank u so much im so tired of seeing global warming cuz it makes me anxious and scared,2022-02-28 23:51:24+00:00,2022,2
30020,NSWFloods 26 Evacuation Orders are in place5 Evacuation Warning in place affecting 300000 people 1000 flood rescues carried out by 17 Council Areas in NSW under a Natural Disaster Declaration NSW Premier,2022-02-28 23:51:04+00:00,2022,2
30021,Theyre moving on from Covid and now theyre starting again with the global warming hysteria,2022-02-28 23:50:55+00:00,2022,2
30022,Six feet of snow and still in the minus temperatures just not fair global warming,2022-02-28 23:49:41+00:00,2022,2
30023,I hope you wont expect federal help when you have your next natural disaster But of course Biden will provide it because he isnt petty like you,2022-02-28 23:49:39+00:00,2022,2
30024,the world When told about Global Warming Trumps response was what do I care I wont be around then I hate to think Putin has a similar attitude,2022-02-28 23:49:36+00:00,2022,2
30025,Pandemic Global Warming or WWIII Oh wait thats not tv,2022-02-28 23:49:29+00:00,2022,2
30026,Yes The people attacking cow milk amp saying cows are the cause of global warming dont even have neuron size wish for healthy life amp the planet but wish to shepherd people to chemically processed lab milk As replacing milk is not possible continue the same,2022-02-28 23:48:22+00:00,2022,2
30027,m pleased The light show is great Dont forget the global warming Just one thing would you mind standing with the UK citizens at some point soon,2022-02-28 23:47:58+00:00,2022,2
30028,does that help to reduce the global warming,2022-02-28 23:46:50+00:00,2022,2
30029,When a fridge in America consumes more energy that a household of 3bedroom flat in 9ja but you dey shout global warming here,2022-02-28 23:46:09+00:00,2022,2
30030,If we nuke the shit out of the planet we all die off and in a few thousand years global warming solved,2022-02-28 23:45:48+00:00,2022,2
30031,Who ever Putin doesnt kill Theglobal warming willThe Repub licans maintain not trueThey all will be taken ahead of usThank God finallysome justice,2022-02-28 23:45:47+00:00,2022,2
30032,I have another friend who says that star link is putting out 5G and shes allergic to it so she doesnt like Elon because of that And the richest in the world as well,2022-02-28 23:45:36+00:00,2022,2
30033,What is the Government doing on their part to mitigate the issue of global warming Is there even any other alternative amp cheaper solution to electricity supply asides from Generators,2022-02-28 23:45:23+00:00,2022,2
30034,Premier 1000 NSWFloods rescues6000 calls for help 40000 subject to evacuation order300000 evacuation warningCwlth Natural Disaster Declaration for 17 council areas,2022-02-28 23:44:51+00:00,2022,2
30035,NSWFloods qldfloods A reminderAustralia is a country of droughts amp flooding rainsAdd in the extra energy of global warming amp this is the climate change future happening right nowIf you dont adapt to it the economy will suffer greatly Its not a one off catastrophy,2022-02-28 23:43:49+00:00,2022,2
30036,s give nuclear war a try sentiment on the day the IPCC released a dire report on global warming Really instills confidence in the future,2022-02-28 23:43:22+00:00,2022,2
30037,An anxiety problem that develops in some people after extremely traumatic events such as combat crime an accident or natural disaster People with PTSD may relive the event via intrusive memories APA 2019,2022-02-28 23:42:48+00:00,2022,2
30038,Scanning the IPCC report on global warming to see if they calculated in the Nuclear Winter numbers,2022-02-28 23:42:35+00:00,2022,2
30039,good luck dealing with global warming without the federal government,2022-02-28 23:42:26+00:00,2022,2
30040,s give nuclear war a try on the day the IPCC released a dire report on global warming,2022-02-28 23:41:37+00:00,2022,2
30041,s right Nothing to worry about The fallout clouds will fix global warming and some mammal somewhereperhaps brown ratswill spend 65 million years evolving into a better intelligent species,2022-02-28 23:41:25+00:00,2022,2
30042,hii so do any of you guys know how to not see news on my trending tab to my side cuz i dont wanna see global warming shit right now neg,2022-02-28 23:40:25+00:00,2022,2
30043,t think nuclear war will impact global warming,2022-02-28 23:40:04+00:00,2022,2
30044,so I can see absolutely no down side to what youre suggesting And upside Having gills would be awesome and also help as global warming reduces dry land,2022-02-28 23:39:52+00:00,2022,2
30045,Greetings useless creatures If each one of us does our bit we will be helping to keep global warming from harming our countries OH BROTHER,2022-02-28 23:39:44+00:00,2022,2
30046,t call the President for help,2022-02-28 23:39:39+00:00,2022,2
30047,Having to worry more about the immediate downfall of human civilization by nuclear war instead of the slow decline by global warming,2022-02-28 23:39:03+00:00,2022,2
30048,such a cluster Im crossing my fingers that trip insurance will cover mechanical issues They were skeptical since it wasnt weatherillnessnatural disasterrelated but like come on Its not free to stay two extra days Best of luck with your travels,2022-02-28 23:38:58+00:00,2022,2
30049,it will end overpopulation stop global warming clean weaklings out of the gene pool and solve Russia Winwinwinwin The direction of our country is so degenerate I rather like the opportunities WWIII presents,2022-02-28 23:38:45+00:00,2022,2
30050,This is not a game its not just political its not abstract This is a whole heap of people amp places in my home that are already suffering from climate change and whose suffering will increase if we dont act We can limit global warming by halving emissions this decade,2022-02-28 23:37:54+00:00,2022,2
30051,and it was never going to rain again now its floods Thats how you know its a fake theory,2022-02-28 23:37:52+00:00,2022,2
30052,But I cant see why NFZ in Lviv and the west is a bad ideaRussia isnt there yet but our supply routes are and it would protect the government in Lviv if it has to escape Kyiv,2022-02-28 23:37:42+00:00,2022,2
30053,Last night i watched a movieI laughed so hardMaybe u can guess whyHintThe movie 2004 The day after tomorrowAnyone want to take a guess as to why I was laughingHeres a clue2001 summit global warming2022 called it climate changeSo not a new concept huh,2022-02-28 23:36:43+00:00,2022,2
30054,It only ever applied to the west and they suddenly realise that they actually desperately rely on fossil fuels,2022-02-28 23:36:11+00:00,2022,2
30055,How many positive feel good stories make the daily news All you see is wars police shootings and crime reports Oh and natural disaster footage,2022-02-28 23:34:32+00:00,2022,2
30056,global warming is still our greatest threat I wonder if he knows how hot exploding nuclear weapons are,2022-02-28 23:33:28+00:00,2022,2
30057,s what I was thinking No humans no global warming,2022-02-28 23:33:19+00:00,2022,2
30058,Our SES has people on the books but few who turn up the expectations of volunteers is huge anyone with family commitments or a full time job has a hard time commiting,2022-02-28 23:32:55+00:00,2022,2
30059,I just saw Annas post and thought either there will be a reversal of global warming or overpopulation reduction spin So sorry to be right again about the extremists,2022-02-28 23:32:14+00:00,2022,2
30060,I think concrete is bad for the environment causes global warming is used and loved by mostly eurocentric and westernized men who feel they can run roughshod over all,2022-02-28 23:31:54+00:00,2022,2
30061,,2022-02-28 23:31:41+00:00,2022,2
