,Tweet,Date,Year,Month
40000,Rogans worst quality is that as long as an idea sounds interesting he doesnt care if theres any factual basis to it at all Its interesting to sit around and just shoot the shit about how maybe global warming is a hoax I mean who can say wouldnt it be weird if it was,2022-01-31 23:59:03+00:00,2022,1
40001,chaos and turmoil pain and suffering The time for rebirth will soon come,2022-01-31 23:58:42+00:00,2022,1
40002,amp energy prices are set to rise relatively for decades due to many issues related to global warming water availability and our exporting of food and energy Real incomes are not keeping up with those costs Curve is flattening Were headed for recession Wheres Biden,2022-01-31 23:57:48+00:00,2022,1
40003,Wheeler a nobel prize for predicting the end of global warming to be 21 years ago top notch work son,2022-01-31 23:57:15+00:00,2022,1
40004,i lean towards 2009 i see 2020 like a hurricane natural disaster which did significant temporary damage 2mo recession and shifted alot as part of the rebuild covid event did accelerate many trendstrade digitization etc,2022-01-31 23:56:23+00:00,2022,1
40005,,2022-01-31 23:54:49+00:00,2022,1
40006,s green squares are a form of farleft indoctrination into accepting the projections of global warming as accurate with a subtopic of one time a rando on Twitter named crunkdunker69 called him a dorkass loser,2022-01-31 23:53:15+00:00,2022,1
40007,habitat damage like oil spills and contaminated superfund air pollution global warming etc,2022-01-31 23:52:35+00:00,2022,1
40008,Inform yourself before it is to late You appear to know nothing of the mass extinctions that keep accelerating or the destruction related to global warming Wake up before it is to late and spread the word,2022-01-31 23:52:32+00:00,2022,1
40009,youre an idiot if you think global warming doesnt exist,2022-01-31 23:52:21+00:00,2022,1
40010,Global warming has no chill,2022-01-31 23:52:01+00:00,2022,1
40011,Baffles me that climate scientists who believe rightly that global warming is caused by human activity cant grasp that any future predictions therefore must entail what humans do in the future,2022-01-31 23:47:23+00:00,2022,1
40012,Including global warming,2022-01-31 23:45:33+00:00,2022,1
40013,We will take all forms of Hydrogen Angus Taylor ie we will continue to contribute to Global warming GoldsteinVotes ClimateCrisis hydrogen,2022-01-31 23:42:05+00:00,2022,1
40014,What happened to global warming Aint shit warm,2022-01-31 23:40:28+00:00,2022,1
40015,Hey dummy Only by planting trees we will be able to overcome global warming OH BROTHER,2022-01-31 23:38:23+00:00,2022,1
40016,,2022-01-31 23:37:22+00:00,2022,1
40017,I love how I said warning sign like its a natural disaster lmao,2022-01-31 23:36:37+00:00,2022,1
40018,nuclear power waste has never harmed anyone and yet youre that concerned about it in a world where wastespollution from other energy sources are released directly into the environment where they kill millions of people every year and cause global warming end,2022-01-31 23:35:59+00:00,2022,1
40019,Respected Its constant propaganda Sexism racism and global warming on repeat Only the communist want it,2022-01-31 23:35:16+00:00,2022,1
40020,,2022-01-31 23:31:40+00:00,2022,1
40021,Climate Change renamedcamouflaged to confuse the masses as the scam continues USgov has been stealing private properties for decades While Globalists are telling usu will own nothing amp will be happy,2022-01-31 23:30:47+00:00,2022,1
40022,,2022-01-31 23:30:20+00:00,2022,1
40023,Liu said 30 natural disaster 70 man made The party is acknowledging the majority of the fault And as for the policies yeah they sucked Except the commune systems which had worked before in previous 5 year plan projects that helped China recover post war,2022-01-31 23:26:13+00:00,2022,1
40024,,2022-01-31 23:23:56+00:00,2022,1
40025,absolutely terrible,2022-01-31 23:23:46+00:00,2022,1
40026,After that was debunked they call it climate change Its all bullshit and just a new way for corporations to make money,2022-01-31 23:23:12+00:00,2022,1
40027,I firmly dont believe that China intentionally or even unintentionally created the Corona virusThis is a natural disaster,2022-01-31 23:22:57+00:00,2022,1
40028,Global warmingclimate change the greatest most dishonest scam in history Climate should be an averaging of weather over time But a vast Goebbles style hoax was launched in 1988 when the UN and World Meteorological Organisation set up the IPCC Its all about money amp power,2022-01-31 23:22:10+00:00,2022,1
40029,,2022-01-31 23:21:35+00:00,2022,1
40030,reviewed papers our there that will explain in scientific terms how global warming will bring more snow just as there will be papers to say the opposite If ridicule the SCIENCE a peer reviewed paper is thus always on hand to prove you a denier,2022-01-31 23:21:30+00:00,2022,1
40031,f a s h i o n is causing global warming in ffxiv LOLOL,2022-01-31 23:21:21+00:00,2022,1
40032,it was such a cold take Im shocked it didnt reverse global warming,2022-01-31 23:21:06+00:00,2022,1
40033,Well its snowing outside where I live today so global warming must be a hoax I mean do you know how polls work,2022-01-31 23:18:59+00:00,2022,1
40034,Im gonna sink the world into a capitalist industrialist global warming nightmare just because I miss my wife Im so sad,2022-01-31 23:15:59+00:00,2022,1
40035,Apparently historians call Pompeii a terrible natural disaster but idk I still think its a banger,2022-01-31 23:14:48+00:00,2022,1
40036,That was three years ago Now joe rogan had real time experience how certain agendas are being pushed by powerful lobbies I think we will see joe rogan looking into global warming critically,2022-01-31 23:14:22+00:00,2022,1
40037,potentially adding a ferry to downtown as an additional transit option Maybe global warming makes that a yearround option Lots of parks around there though,2022-01-31 23:13:50+00:00,2022,1
40038,In 64 years from now cars will be underwater due to global warming and we will be incredibly scared What a delightful time that will be What will be next,2022-01-31 23:13:13+00:00,2022,1
40039,Snowfall is way above average for the year already How does that fall into the global warming narrative,2022-01-31 23:12:59+00:00,2022,1
40040,pal Rip in advance This the kind of shit that makes you want global warming and all that kind of stuff to hurry up and kill all of humanity faster,2022-01-31 23:11:37+00:00,2022,1
40041,Took me a long second to realize you were listing groundhogs to punch as opposed to slave trading traitors to punch,2022-01-31 23:11:13+00:00,2022,1
40042,An nft account liked the above tweet So to clarifyMy mind was blown at how obvious a con this whole thing isJust commision an artist Youll get something better than a shite picrew that causes global warming and support an actual artist,2022-01-31 23:11:09+00:00,2022,1
40043,Shut up and listen Global warming isnt a prediction It is happening Die soon,2022-01-31 23:08:34+00:00,2022,1
40044,Global warming about to be a PROBLEM once Riri and Rocky have this baby,2022-01-31 23:08:28+00:00,2022,1
40045,Justin Trudeau calls trucker protest an insult to truth as Freedom Convoy continues Justin Trudeau is an insult to truth He believes in the fairytale of global warming and he thinks that vaccinated people cant spread Covid,2022-01-31 23:06:28+00:00,2022,1
40046,t it interesting that in 2000 that global warming people predicted that snow would soon be a thing of the past Interesting,2022-01-31 23:02:10+00:00,2022,1
40047,Both are unproved thus unscientific,2022-01-31 23:01:55+00:00,2022,1
40048,natural disaster up in there,2022-01-31 23:01:07+00:00,2022,1
40049,t the problem but people think its the easiest thing to stopEVs arent helping with global warming just helps local Pollution,2022-01-31 23:00:44+00:00,2022,1
40050,i coming to make extinguish the from you my star,2022-01-31 23:00:14+00:00,2022,1
40051,venus planet of love was destroyed by global warming,2022-01-31 22:56:14+00:00,2022,1
40052,Global warming is to blame for everything,2022-01-31 22:55:35+00:00,2022,1
40053,It is certainly ironic how liberals who posture as defenders of science when it comes to global warming flee all reference to biology when it comes to gender Biology has been excluded from womens studies and gender studies programs for almost 50 years now Camille Paglia,2022-01-31 22:53:39+00:00,2022,1
40054,Water is going to be getting tight if it is not global warmingWutOne day the AGW cultists will be seen as the chicken littles that caused people to lose track of whats importantI know right sDontLookUp,2022-01-31 22:52:16+00:00,2022,1
40055,if I ever get caught in a natural disaster without shoes Im just quitting I swear,2022-01-31 22:51:38+00:00,2022,1
40056,Govt shipping jobs overseas the climate change hoax global warming 87 scientists claimed without any proof,2022-01-31 22:49:27+00:00,2022,1
40057,Doc this long covid is roughTake the vaccine it will MAKE U FEEL BETTERMy car isnt starting im wonderThe vaccine will fix thatYou know this global warming thing isVACCINE TAKE THE VACCINE FUCK ME FUCK ME FATHER ARFYGG Satanic Tongue rambling,2022-01-31 22:49:16+00:00,2022,1
40058,You look ugly today If each one of us does our bit we will be helping to keep global warming from harming our countries You make me sick,2022-01-31 22:48:45+00:00,2022,1
40059,warming it was below freezing on the coast yesterday morning in Central Florida,2022-01-31 22:48:09+00:00,2022,1
40060,The most annoying thing about the Republican Party is the politicization of everything despite them saying not everything has to be politicalFemale representation in media Political LGBT rights Political A pandemic Political Global warming Political,2022-01-31 22:46:48+00:00,2022,1
40061,collectively in our best interest to do so The only time Ive ever seen people be thatthat process on their own in mass is after a natural disaster There are some who take advantage during that time but only a few Why cant we operate like that without the storm,2022-01-31 22:45:17+00:00,2022,1
40062,opinion when you have a controversial episode to have instead a proportional counterpoint that is if you want to have a convo with a psychologist about global warming invite another 10000 geological climatological and zoological specialists,2022-01-31 22:43:35+00:00,2022,1
40063,,2022-01-31 22:43:04+00:00,2022,1
40064,,2022-01-31 22:42:44+00:00,2022,1
40065,not scientists BTW did you know that the premise of the 1973 film Soylent Green was based on predictions of global warming Edward G Robinsons character explains how they had real food before the greenhouse effect,2022-01-31 22:42:41+00:00,2022,1
40066,m happiest in the blazing heat of the imminent demise of the human race Which cocktail pairs best with global warming,2022-01-31 22:42:35+00:00,2022,1
40067,A cold storm is weather Two different thingsbut you know that,2022-01-31 22:42:34+00:00,2022,1
