,Tweet,Date,Year,Month
50000,re a damn liar We know that youre working with an agenda amp that you get paid to do so You have no morals amp a false sense of self worth You will burn amp not from global warming but for your part in this charade Shame on you amp the other 90 of scientists paid to play,2022-07-31 23:59:17+00:00,2022,7
50001,There is no man made global warming Would they keep watching commie TV BBC SKYNEWS LOL,2022-07-31 23:58:58+00:00,2022,7
50002,Top of the morning Given the scale of issues like global warming and epidemic disease we shouldnt underestimate the importance of a cando attitude to science rather than a cantaffordit attitude Dont forget Im superior,2022-07-31 23:58:23+00:00,2022,7
50003,t a SJW marching for rights global warming and cyber bullying This sounds like shit People are getting murdered and raped and hes in a picket line with a sign shameful,2022-07-31 23:57:13+00:00,2022,7
50004,,2022-07-31 23:57:05+00:00,2022,7
50005,Global warming is the answer to the Fermi Pradox I am sure that all civilizations throughout the galaxy have destroyed themselves as we are destroying ourselves,2022-07-31 23:56:50+00:00,2022,7
50006,today we learn that summer wild fires are caused by man made global warming I guess those summer wildfires are a recent phenomenon,2022-07-31 23:56:07+00:00,2022,7
50007,one of the saddest predictions of global warming is that cloud formations will mostly disappear Its already happening in some parts of the USA So sad,2022-07-31 23:54:38+00:00,2022,7
50008,Families with children are homeless unable to find rental accommodation anywhere all over Australia Albo the woke tool is worried about Rainbows Global Warming and paying tribute they dont want to aborigines Dude do your fucking job,2022-07-31 23:53:46+00:00,2022,7
50009,Chris was an caused global warming,2022-07-31 23:53:35+00:00,2022,7
50010,Full blown international revolution is the only solution for global warming and the massive disasters heading our way The politicians are fools And liars need you to understand this Then Im asking you to share that knowledge with someone and they share it RT this obviously,2022-07-31 23:53:30+00:00,2022,7
50011,Last yearTexashad the coldest winter in decades followed by the hottestsummer but there are still a lot of people that do not believe in global warmingFacts,2022-07-31 23:52:42+00:00,2022,7
50012,Wow,2022-07-31 23:52:29+00:00,2022,7
50013,Cannot fucking believe that I was complaining to my dad about autocorrect and he said autocorrect is woke without a hint of irony Then again he also said global warming isnt real so maybe there were some signs,2022-07-31 23:51:42+00:00,2022,7
50014,global warming The Roman Warming period in 1000 AD was hotter than present temperatures and yet there was no industrial pollution ergo no CO2 emissons,2022-07-31 23:49:32+00:00,2022,7
50015,,2022-07-31 23:49:15+00:00,2022,7
50016,but then I realized the real enemy is global warming Lol,2022-07-31 23:49:05+00:00,2022,7
50017,Ay yo ma If each one of us does our bit we will be helping to keep global warming from harming our countries Its so simple,2022-07-31 23:48:46+00:00,2022,7
50018,s like they did with the climate Used to be heat only and they called it global warming Now its all climate When covid didnt scare enough people they concocted long covid so now they can say any health issues are long covid,2022-07-31 23:48:41+00:00,2022,7
50019,s causing acidic oceans and global warming peopleif you dont believe it look up harmful effects of cloud seeding,2022-07-31 23:48:12+00:00,2022,7
50020,s called global warming and monkey pox,2022-07-31 23:47:27+00:00,2022,7
50021,,2022-07-31 23:46:35+00:00,2022,7
50022,But just because youre a top emitter doesnt mean you can stop global warmingIf youre in the top 30 youre one of 22 billion people Your individual choices matter but not very muchDo choose an EV over an SUV Dont think thats good enough,2022-07-31 23:46:19+00:00,2022,7
50023,It contains the most ever allocated for renewable energy and will cut CO2 emmissions This MAY help global warming and weather issues,2022-07-31 23:44:38+00:00,2022,7
50024,Come on over to the East Coast You will get warmed up Happens every summer not global warming,2022-07-31 23:42:58+00:00,2022,7
50025,This may be triggered by various events such as a financial crisis an external trade shock an adverse supply shock the bursting of an economic bubble or a largescale anthropogenic or natural disaster eg a pandemic,2022-07-31 23:42:39+00:00,2022,7
50026,why didnt you ask that meathead to explain Because what I have seen is very different We are headed toward the biggest recession since the 1920s 30s All on a political ponzi scheme fueled by global warming So sad,2022-07-31 23:41:49+00:00,2022,7
50027,s terrible global warming is a real threat,2022-07-31 23:41:47+00:00,2022,7
50028,Does it affect the carbon footprint BS Does it affect the global warming BS,2022-07-31 23:41:42+00:00,2022,7
50029,,2022-07-31 23:41:25+00:00,2022,7
50030,Also causing holes in the ozone There are other nations doing similarly None of it for good reason They have to have a cover story of global warming to obfuscate wtf they are actually doing It ties in with Space Force,2022-07-31 23:41:14+00:00,2022,7
50031,So we have global warming in there too,2022-07-31 23:39:46+00:00,2022,7
50032,So lets make a home out of straw and sticks And then well know if the apocalypse hits We can always rebuild after We get hit by a natural disaster,2022-07-31 23:39:44+00:00,2022,7
50033,,2022-07-31 23:39:43+00:00,2022,7
50034,We can always rebuild after We get hit by a natural disaster,2022-07-31 23:39:37+00:00,2022,7
50035,t all that extra roughage cause folks to be gassy and lead to more global warming,2022-07-31 23:39:00+00:00,2022,7
50036,i miss when 30 was considered a heatwave fuck you global warming you too taylor swift,2022-07-31 23:38:18+00:00,2022,7
50037,s funding the global warming industry,2022-07-31 23:38:14+00:00,2022,7
50038,physics proved the greenhouse effect on the effect of CO2 on atmospheric temperature in 1856In fact you can do the same experiment in your house today So you can prove to yourself with your own experiment that CO2 causes global warming,2022-07-31 23:37:28+00:00,2022,7
50039,George Jetson was born todayBased on Global Warming InactionIn 40 years George will likely be murdered for food or drinking waterElroy and Judys generation will die of 4 thingsgtMurdergtStarvationgtDehydrationgtDiseaseThink carefully before you have kids,2022-07-31 23:36:33+00:00,2022,7
50040,None of it trickled down None of us benefited from those who figured out how to build a better mousetrap Its like global warming people used to die early from backbreaking labor in the fields Then came the internal combustion engine Fossil fuels saved countless lives,2022-07-31 23:35:44+00:00,2022,7
50041,Fucking hypocrite owning a fucking private and lecturing us about climate change and global warming like shut the Fuck up,2022-07-31 23:35:04+00:00,2022,7
50042,,2022-07-31 23:34:25+00:00,2022,7
50043,WWIII,2022-07-31 23:32:43+00:00,2022,7
50044,who wants to stay in a room thats slightly above room temp for 2 hours to try to cool off,2022-07-31 23:32:24+00:00,2022,7
50045,,2022-07-31 23:32:05+00:00,2022,7
50046,taylor swift causing global warming to go see her girlfriend in new york every weekend,2022-07-31 23:31:21+00:00,2022,7
50047,and based only on ocean temperatures Global warming has accelerated significantly since thenPaul Harvey was not a meteorologist or a climatologist,2022-07-31 23:29:43+00:00,2022,7
50048,Which just happens to be the average rate of annual inflation So what youre saying is that it wont impact the economy but it will prevent global warming sounds good,2022-07-31 23:29:05+00:00,2022,7
50049,I would go back there in the morning fuck this snow flake society and global warming scam Best time ever,2022-07-31 23:28:54+00:00,2022,7
50050,Hear me out Given the scale of issues like global warming and epidemic disease we shouldnt underestimate the importance of a cando attitude to science rather than a cantaffordit attitude OH BROTHER,2022-07-31 23:28:39+00:00,2022,7
50051,Republicans are just too extreme for America just look what their Supreme Court Justices have done to voting rights the EPA gun control global warming abortion rights and dark money in politics Vote for Democrats in order to save America,2022-07-31 23:28:21+00:00,2022,7
50052,s choice is Luke Mixon a conservative Democrat who supports the fossil fuel industry the health insurance industry more money for cops who kill BIPOC and adapting to global warmingCarville is one of the last dinosaurs of the Clinton Era,2022-07-31 23:27:49+00:00,2022,7
50053,t matter until China and India decide to do it as well Do you really want America to fail and still have to deal with global warming I mean honestly where do you think electricity comes from,2022-07-31 23:26:02+00:00,2022,7
50054,This Taylor Swift private jet thing is such utter bullshit This is not why we have global warming Airlines account for less than 2 of CO2 emissions meanwhile Industry energy use accounts for 24 Road transport accounts for 12 Residential and commercial buildings 175,2022-07-31 23:25:36+00:00,2022,7
50055,,2022-07-31 23:24:19+00:00,2022,7
50056,the global warming hoax has always been labeled a hoax going back to the early 80s when they first started pushing it,2022-07-31 23:24:16+00:00,2022,7
50057,,2022-07-31 23:22:19+00:00,2022,7
50058,I dont understand this hole in the ozone oh wait no the global warming oh now I remember climate change CRISIS As soon as Walmart starts selling electricity in a can for an EV I will discuss it but until then Im not interested in a new religion,2022-07-31 23:21:45+00:00,2022,7
50059,,2022-07-31 23:20:37+00:00,2022,7
50060,very unlikely or defeat is not an existential threat to humanity Were as Global warming and Nuclear war are so put that in your chaw and chew on it,2022-07-31 23:19:32+00:00,2022,7
50061,The Republicans have proven again how extreme they are Just look at Roe voting rights LGBQ rights their banning of books refusal to help veterans even though they fought for all of us gun control and global warming They will destroy America Vote accordingly,2022-07-31 23:17:27+00:00,2022,7
50062,Worse still it hasnt happened The whole global warming farce is based on things that might happen but which have not actually happened yet And which are just guesswork by people pushing an agenda,2022-07-31 23:17:07+00:00,2022,7
50063,AGAIN I hope the global warming believers are loving the high gas costs Global Warming is the RICH mans the fleecing of America Inflation will only get worse,2022-07-31 23:14:21+00:00,2022,7
50064,,2022-07-31 23:12:30+00:00,2022,7
50065,that global warming for you its farrrking cold right now it will be farking hot in January and sea had not risen or dropped in sydney harbour since the first fleet Temperature is up and down just like nuns undies I was told by not so reputable source,2022-07-31 23:12:22+00:00,2022,7
50066,dont you care,2022-07-31 23:10:46+00:00,2022,7
50067,As a friends hubs used to say they bought a ticket on the Hell Express,2022-07-31 23:10:34+00:00,2022,7
50068,we often took food with us but when I saw a Waffle House I insisted on eating there at least once or it wasnt a real vacation Also dont forget about the Waffle House Index which is an unofficial reckoning of a natural disaster,2022-07-31 23:09:35+00:00,2022,7
50069,You have a hatable face If each one of us does our bit we will be helping to keep global warming from harming our countries now shoo,2022-07-31 23:09:11+00:00,2022,7
50070,Show that floods are getting worse Every time I hear about a major flood caused by global warming I google the area and flooding and behold it happens all the time and has been happening Dont be fooled people,2022-07-31 23:08:38+00:00,2022,7
50071,RapidGlobalWarming Global warming is And its happening right now in Kentucky kentuckyFlooding,2022-07-31 23:08:22+00:00,2022,7
50072,Check out his alternate theory of global warming Very interesting Also his philosophical discussions remind me why Im not getting a phd in philosophy,2022-07-31 23:08:02+00:00,2022,7
50073,,2022-07-31 23:08:00+00:00,2022,7
50074,the serious science is ignored if the farmers fall for this crap they are finished and so are the western nations CO2 is 004 of the atmosphere and humans are responsible for 5 of this figure with nature responsible for the rest How did we get here,2022-07-31 23:06:22+00:00,2022,7
50075,Because you dont hear FEMA talking about whether the Dennys or IHOP is open to gauge how bad a natural disaster is,2022-07-31 23:06:01+00:00,2022,7
50076,,2022-07-31 23:05:47+00:00,2022,7
50077,,2022-07-31 23:05:36+00:00,2022,7
50078,Trump climate change Trump climate catastrophe Trump Trump,2022-07-31 23:05:29+00:00,2022,7
50079,Then as global warming happens you can shift the population North Unlimited wateroilwood nat gasore etc Get it before the communist countries invade Also could win in 3 days max,2022-07-31 23:04:52+00:00,2022,7
50080,I dont give a shit about racial justiceI dont give a shit about global warmingI dont give a shit about any of this progressive bullshitMy only interest is to fuck conservatives up and trample on their repugnant bigotry,2022-07-31 23:03:48+00:00,2022,7
50081,Its the Global Warming Scam It is acceptable to use the acronym GWS,2022-07-31 23:03:04+00:00,2022,7
50082,,2022-07-31 23:01:12+00:00,2022,7
50083,t proposed anything close to refuting the worldwide accepted science that global warming exists a sustained warming pattern directly due to man made fossil fuel burningTry harder,2022-07-31 23:00:18+00:00,2022,7
50084,Spent half my shift in a freezer so far I personally welcome global warming,2022-07-31 22:59:28+00:00,2022,7
50085,There will be plenty of time before it becomes an issue Tackle the important and more time sensitive issues like global warming first,2022-07-31 22:59:09+00:00,2022,7
50086,Your presence makes my day worse If each one of us does our bit we will be helping to keep global warming from harming our countries now shoo,2022-07-31 22:58:44+00:00,2022,7
50087,,2022-07-31 22:58:14+00:00,2022,7
50088,Makes me think global warming is a very real thing that people should care about,2022-07-31 22:58:09+00:00,2022,7
50089,The oceans cover more earth than land by alotThe more CO2 in the atmosphere the more acidic the ocean becomes I think you can take it from there,2022-07-31 22:57:27+00:00,2022,7
50090,Im curious just how full of hate their heart isvoteblue if you care,2022-07-31 22:57:13+00:00,2022,7
50091,s amazing is how many Americans wont mention ClimateCrisis but say global warming is a hoax,2022-07-31 22:56:55+00:00,2022,7
50092,veterans healthcare gun safety fighting inflation against prescription drug prices reducing the deficit combating global warming and making corporations pay their fair share of taxes What exactly is this party for,2022-07-31 22:56:32+00:00,2022,7
50093,And theres a not a recession recession and the world is on fire from global warming It could be worse It could always be worse,2022-07-31 22:56:27+00:00,2022,7
50094,Poor countries will experience a large food shortage that is rarely seen in history and European countries will face an unprecedented super cold winterHumanity will face the double blow of natural disaster and manmade disaster rarely seen in history,2022-07-31 22:55:54+00:00,2022,7
50095,,2022-07-31 22:55:49+00:00,2022,7
50096,,2022-07-31 22:55:11+00:00,2022,7
