,Tweet,Date,Year,Month
70000,,2022-05-31 23:59:30+00:00,2022,5
70001,t he genetically modifying mosquitos They probably made a mistake and are going to blame it on global warming for an increase in deadly mosquitos,2022-05-31 23:57:51+00:00,2022,5
70002,Does anybody think Global warming is a good thing I love Lady Gaga I think shes a really interesting artist,2022-05-31 23:57:46+00:00,2022,5
70003,,2022-05-31 23:56:23+00:00,2022,5
70004,m always running from a natural disaster or like an invasion of some sort that includes military in some way but I always get away This specific dream I seen the wave of water coming and it crashed down,2022-05-31 23:55:32+00:00,2022,5
70005,So there is not benefit proving you beleive in CATASTROPHIC HUMANINDUCED CO2 DRIVEN GLOBAL WARMING to start with,2022-05-31 23:54:55+00:00,2022,5
70006,It started with Africa first followed by Middle East The shift is now focusing on Far East with India and Pakistan with global warming,2022-05-31 23:54:22+00:00,2022,5
70007,I dont know who needs to hear this but in a natural disaster or fire or idk burglary DO NOT GO BACK FOR YOUR PET You will die and your pet will live a nice long life with your mourning family who will be irrevocably traumatized by your death,2022-05-31 23:53:34+00:00,2022,5
70008,Since the 1960s we have been told about global warming ozone layer ice caps melting islands under water NOTHINGNOTHING HAS COME TRUEBUT IT WILL THEY SAY NONSENSE,2022-05-31 23:52:20+00:00,2022,5
70009,This weather is disgusting but it reminds me of when I was a kid Frozen puddles and numb fingers in the morning Not a decent day of sunshine all August Global warming or natural weather cycles Im no scientist and I cant believe those that are,2022-05-31 23:52:03+00:00,2022,5
70010,s making them claims for the future Like mans responsible for global warming but never mention the methane produce by mommy nature Batterys dont hold a charge due to metal fatigue so last maybe 8 years Gas cars built 100 years ago are still running,2022-05-31 23:51:44+00:00,2022,5
70011,,2022-05-31 23:51:18+00:00,2022,5
70012,I can conquer global warming without quantum computing Just follow Freeman Dysons soil management system and were done,2022-05-31 23:51:03+00:00,2022,5
70013,did you know that global warming is green,2022-05-31 23:50:49+00:00,2022,5
70014,the cult of innovation leads to an everescalating series of hotter and hotter takes endlessly pursuing the next sublime truth until you end up saying shit like the reason markets havent solve global warming yet is because we dont let dogs work to buy their OWN food,2022-05-31 23:49:07+00:00,2022,5
70015,like war natural disaster famine etc Hardly any fit the description Plus international law says they have to seek asylum in a neighboring country first How many are from Honduras El Salvador Why they dont show up for hearings,2022-05-31 23:48:41+00:00,2022,5
70016,,2022-05-31 23:47:49+00:00,2022,5
70017,theyre always so quick to say anyone whos ever been paid for a job is a moneyhungry sellout ie teachers doctors global warming researchers then in the same breath they simp for billionaires i genuinely dont understand it,2022-05-31 23:46:56+00:00,2022,5
70018,Statistically school shootings are doing this planet of favor Does anybody else realize that at the same time is this school shooting that theres global warming and inflation and carrying capacity of the planet that is less than the population,2022-05-31 23:46:28+00:00,2022,5
70019,,2022-05-31 23:45:28+00:00,2022,5
70020,In The Hangover part 3 those four guys have to deal with Getting really worried about global warming for a few seconds The amount of gay I am and Chugging a gallon of milk and then vomiting a gallon of milk,2022-05-31 23:43:50+00:00,2022,5
70021,bloody hell s friggin freezing bring back global warming now,2022-05-31 23:43:17+00:00,2022,5
70022,built for winter could be the thing we start to do for climate changing Or global warming which it was years ago,2022-05-31 23:43:02+00:00,2022,5
70023,What do they have to gain from thatPerhaps if the gvt was so concerned with global warming they would I dont know show it in their behaviors by getting serious about it in the international communityPretty sure they arent,2022-05-31 23:42:06+00:00,2022,5
70024,Climate changewhat exactly is that beside the great swindle by corporations whilst ignored by china,2022-05-31 23:41:41+00:00,2022,5
70025,,2022-05-31 23:41:10+00:00,2022,5
70026,t care about global warming care if you eat a cheeseburger or not,2022-05-31 23:40:13+00:00,2022,5
70027,,2022-05-31 23:39:44+00:00,2022,5
70028,V8 Its good he cares about the global warmingHypocrite,2022-05-31 23:38:42+00:00,2022,5
70029,m actually more into conservationism as opposed to environmentalism Environmentalism is a leftoid ideology that fails These ppl refuse to burn the dry brush in the spring to avoid the wildfire in the summer Theyll instead blame global warming when that shit is natural,2022-05-31 23:38:23+00:00,2022,5
70030,Hola idiotas Global warming isnt a prediction It is happening now shoo,2022-05-31 23:38:12+00:00,2022,5
70031,Lyin Ted Cruz just cancel the World Trade Center right in New York we need global warming Ive said if Ivanka werent,2022-05-31 23:35:14+00:00,2022,5
70032,,2022-05-31 23:34:51+00:00,2022,5
70033,This is a theory for an approach on how to tackle issues related with global warmingNot some evil master plan to control everything Paul Collider eats on SundaysAnd hows a gun going to protect you from an allergen,2022-05-31 23:34:20+00:00,2022,5
70034,,2022-05-31 23:33:27+00:00,2022,5
70035,,2022-05-31 23:30:56+00:00,2022,5
70036,When Britain is now producing a better crop of grapes for wine than Italy and France you know its gotta be happening,2022-05-31 23:30:36+00:00,2022,5
70037,Ya throwing money at that isnt gonna fix it lmao Especially with government managing it,2022-05-31 23:28:50+00:00,2022,5
70038,Sup If each one of us does our bit we will be helping to keep global warming from harming our countries stoopid,2022-05-31 23:28:07+00:00,2022,5
70039,please come back,2022-05-31 23:27:59+00:00,2022,5
70040,ve been talking about global warming since the latter half of the eighties which coincidentally is the same time period that I became aware that TFG was a conartist POSAncient Chinese Secret I dont think so,2022-05-31 23:26:46+00:00,2022,5
70041,,2022-05-31 23:21:55+00:00,2022,5
