,Tweet,Date,Year,Month
90000,Natural Disaster Managment NoNaturalDisasters DisastersArePolitical,2022-11-30 23:58:55+00:00,2022,11
90001,You can just check the statistics to see that temperature of globe is rising But if this became for politicians method to launder money and push narrative it is what it is Global warming is opposite of ice age and just and cycle of nature,2022-11-30 23:58:22+00:00,2022,11
90002,I hate you already but check this out Global warming is a real threat to our communities to everybody to everything Being stupid should be a crime,2022-11-30 23:58:15+00:00,2022,11
90003,because of global warming,2022-11-30 23:58:13+00:00,2022,11
90004,That requires 6 times more mining If the US cared about global warming then they would tell manufacturers to make products last for 20 or 30 years versus five,2022-11-30 23:58:06+00:00,2022,11
90005,People say Thatcher closed coal mines due to worries about global warming Wrong Global warming caused by humans was a new theory and the prevailing belief was it would counteract the natural coming ice age,2022-11-30 23:57:37+00:00,2022,11
90006,s called global warming,2022-11-30 23:57:32+00:00,2022,11
90007,made global warming Stop with your lies,2022-11-30 23:56:56+00:00,2022,11
90008,Id like to say NOBODY has time for this 25 weather Bring back global warming,2022-11-30 23:55:14+00:00,2022,11
90009,better weather for cyclists everyones a winner,2022-11-30 23:54:35+00:00,2022,11
90010,Greetinglocal cluster Eating eggtarts is a fascinating habit of being happy in order to not go crazy during covid time Mum once told me a story Rene who is a nurse he saved a village from the virus and he took care of global warming,2022-11-30 23:54:08+00:00,2022,11
90011,s why you believe in manmade global warming To believe I just need the summaries To deny I need the source data Got it Thanks for setting me on the straight path of righteousness,2022-11-30 23:54:03+00:00,2022,11
90012,oh look global warming has stopped graph,2022-11-30 23:53:34+00:00,2022,11
90013,s the cause of global warming,2022-11-30 23:51:38+00:00,2022,11
90014,I seem to recall hearing awhile back that a modern prophet predicted a frozen virus from Siberia would send the world into another pandemic in late 2022 It thawed out due to global warming Interesting,2022-11-30 23:51:11+00:00,2022,11
90015,1 Hey its really cold I guess someone forgot to tell GLOBAL WARMING about that2 Hey did you notice Hillarys pants I guess they really SUIT her3 Why do chickens make better lovers Because they NUGGET pronounce nugget like snuggle,2022-11-30 23:50:47+00:00,2022,11
90016,you can imagine global warming as coming from literal waste heat from the work done by our machines local benefits with very diffuse costsrather than attacking the problem by mitigating the widespread heatleakage better to use concentrated energy to produce friendly bubbles,2022-11-30 23:50:39+00:00,2022,11
90017,global warming now Its now the relabelled all encompassing climate crisis,2022-11-30 23:48:56+00:00,2022,11
90018,Is global warming still a thing btw,2022-11-30 23:48:36+00:00,2022,11
90019,France is firing up a mothballed coal plant Brandon wont allow it in the US and is discussing US reparations to the world for the impact of global warming caused by the USYour POTUS is owned by CHINAHey Harvard grads what do you think,2022-11-30 23:48:29+00:00,2022,11
90020,So Im going to go with another state that give tax breaks for the rich at the expense of the poor Texas,2022-11-30 23:47:36+00:00,2022,11
90021,,2022-11-30 23:46:15+00:00,2022,11
90022,The vast majority of people claiming global warming is not a problemfake etc have no science qualifications The few that have are mostly not climate scientists The most prominent activist AGW Deniers are almost all politically motivated and openly ultraCons,2022-11-30 23:46:07+00:00,2022,11
90023,character count is at a premiumif I had tthe space and cared enough to be specific I would eloborate in more detailmy argument remains the same global warming is real The alarmists flat out lie about the threat from global warming,2022-11-30 23:44:19+00:00,2022,11
90024,s the Earths natural cycle its another made up fear campaign,2022-11-30 23:40:36+00:00,2022,11
90025,m not mistaken the richest man in the world has made his billion from global warming and climate control arguments by investing in EVs,2022-11-30 23:38:53+00:00,2022,11
