,Tweet,Date,Year,Month
100000,Hey dummy Global warming is a real threat to our communities to everybody to everything stoopid,2022-10-31 23:59:15+00:00,2022,10
100001,amp now climate change Why hasnt the WORLD stopped driving cars flyingclosed Coal plantsinstead building more introduced food sources internally,2022-10-31 23:58:21+00:00,2022,10
100002,I think a natural disaster is going to happen in texas,2022-10-31 23:56:55+00:00,2022,10
100003,then acid raid then global warming now the climate crisis this is all just to enrich their clean energy investing friends donors Nothing more Hochul is a puppet and all she is doing is driving up home utility costs,2022-10-31 23:55:46+00:00,2022,10
100004,we havent natural disaster We are never prepared for the worse,2022-10-31 23:55:28+00:00,2022,10
100005,Heyyall Eating eggtarts is a ideal precondition of being happy in order to become a better catbear My owner once told me a story Jessi who is a nurse they took care of global warming and they saved a village from the virus,2022-10-31 23:54:43+00:00,2022,10
100006,or take a more definitive stance against climate alarmism,2022-10-31 23:53:46+00:00,2022,10
100007,economics and global warming will be a constant problem for the next generation Do we start to think constructively or do we kick the can on down the road the Tory way,2022-10-31 23:53:29+00:00,2022,10
100008,There is no significant global warming ClimateScam,2022-10-31 23:53:28+00:00,2022,10
100009,fitness the ability to adapt to changing conditionsIn the face of global warming the Capitalists grow the economy mantra shows Captialism to be unfit and it will perish Unless there is a serious paradigm shift most of us or our descendents will also,2022-10-31 23:52:56+00:00,2022,10
100010,Youve got to be a massive POS organization to try to drag a musician helping your state out after a natural disaster because they brought the governor of the state on the stage,2022-10-31 23:51:10+00:00,2022,10
100011,In India for example people managed to return the entire river several 100 kms in length that had been dried up The only way out of global warming is nor carbon neutrality but carbon negativity Building soils is the only way to achieve that and its healthy too,2022-10-31 23:51:02+00:00,2022,10
100012,Nuclear is among the safest energy systemsIs that why the areas around Fuk Chernobyl are uninhabitableamp as bodies of water arewill getting warmer due to global warming they arewill not be able to cool the reactors,2022-10-31 23:50:58+00:00,2022,10
100013,Is that like when you run away from a natural disaster and take zero responsibility Not saying you have control over Mother Nature but you have a say in your leadership style,2022-10-31 23:50:25+00:00,2022,10
100014,Im not sure exactly and I dont exactly care,2022-10-31 23:50:12+00:00,2022,10
100015,Harry is claiming weird things about the dangers of global warming tomorrow,2022-10-31 23:49:06+00:00,2022,10
100016,I hate you already but check this out I would like nuclear fusion to become a practical power source It would provide an inexhaustible supply of energy without pollution or global warming Unbelievable,2022-10-31 23:48:48+00:00,2022,10
100017,t its just a mechanism for control,2022-10-31 23:47:52+00:00,2022,10
100018,When all you obsess over is politics instead of helping those in need you prove who has bigger issue Go look in a mirror amp ask if that persons family was needing help after a natural disaster would you be so political DEPLORABLE,2022-10-31 23:47:37+00:00,2022,10
100019,m with both of youclimate change is a hoaxit use to be global warming theyve just rebranded it because that was a lie amp easily disproved Can we do better with pollutionover population etc absolutelyI abhor the elites stars etc preaching from their p jetsmansions,2022-10-31 23:46:34+00:00,2022,10
100020,Covid is the biggest scam on the planet,2022-10-31 23:45:50+00:00,2022,10
100021,,2022-10-31 23:45:06+00:00,2022,10
100022,eh Did you see what is coming in a week And then following weekend PacNW High wind floods,2022-10-31 23:44:19+00:00,2022,10
100023,we dont have postponements except in the case of a natural disaster So a game or three every 25 years or so on average,2022-10-31 23:44:10+00:00,2022,10
100024,m not transphobic the more trans the betterIm glad to see its a growing community I believe in global warming Someone has to be sterilized,2022-10-31 23:44:09+00:00,2022,10
100025,why Why do you want to limit global warming We can terraform this planet if we want Why are you so conservative,2022-10-31 23:43:50+00:00,2022,10
100026,venus planet of love was destroyed by global warming,2022-10-31 23:42:31+00:00,2022,10
100027,Gonna keep driving and buying gas Enjoy walking BTW global warming is overblown Earth has regular cycles I must be crazy right,2022-10-31 23:42:12+00:00,2022,10
