,Tweet,Date,Year,Month
110000,If I see another political tweet saying floridians deserve this I will lose my shit I cannot deal with this bs on my feed Twitter has some of the most hateful nonempathetic people on here Its sick Leave your politics out of a natural disaster assholes,2022-09-30 23:59:14+00:00,2022,9
110001,Deadliest natural disaster in US History,2022-09-30 23:59:10+00:00,2022,9
110002,if the democrats can control the weather then why is global warming a hoax,2022-09-30 23:59:00+00:00,2022,9
110003,c I know that infrastructure means money for things like abortion care making vagin Nobody should need a road Roads and bridges were built on white supremacy and contribute to global warming,2022-09-30 23:58:32+00:00,2022,9
110004,,2022-09-30 23:58:19+00:00,2022,9
110005,I wonder when Global Warming will get to the point where were all in a Mad Max scenario,2022-09-30 23:58:18+00:00,2022,9
110006,,2022-09-30 23:57:22+00:00,2022,9
110007,Weird 1 for the ClimateScam,2022-09-30 23:57:14+00:00,2022,9
110008,LVWR GTII SPY QQQ DIAHi all my discord group is looking to take a trade in unity and donate profits from the to assist those who have been impacted by the natural disaster in Florida Hit the link in the bio if your are interested Share and retweet Have a great weekend,2022-09-30 23:56:41+00:00,2022,9
110009,ll let them have their own country And then let global warming wash them out to sea,2022-09-30 23:55:29+00:00,2022,9
110010,s a difference between government control of the means of business and helping after a natural disaster,2022-09-30 23:55:19+00:00,2022,9
110011,the environment should not be neglected its effects are causing disasters the whole world must work to mitigate global warming,2022-09-30 23:54:51+00:00,2022,9
110012,s Desantis Wow Jay how old are you,2022-09-30 23:54:47+00:00,2022,9
110013,YES global warming is real but blue coyotes getting married in Mark Zuckerbergs bathroom are not Are they,2022-09-30 23:54:38+00:00,2022,9
110014,like they are for every natural disaster There are already funds allocated for FEMA to use,2022-09-30 23:54:33+00:00,2022,9
110015,PRO TIP WHEN YOU ARE OUT SURVEYING SEVERE PROPERTY DAMAGE AND DEATH FROM A NATURAL DISASTER DONT FUCKING SMILE FOR THE CAMERA,2022-09-30 23:53:43+00:00,2022,9
110016,D,2022-09-30 23:53:37+00:00,2022,9
110017,This means you will be qualified for FEMA benefits,2022-09-30 23:53:10+00:00,2022,9
110018,Are YOU paying attention In the coming weeks gas prices will skyrocket and the blame will be placed on the hurricane even though everyone knows the real culprit is global warming,2022-09-30 23:53:04+00:00,2022,9
110019,To bring race into help for those suffering from a natural disaster How can Democrats say she represents all Americans This administration has been the MOST divisive ever in HISTORY,2022-09-30 23:52:54+00:00,2022,9
110020,re denied social assistance in a natural disaster thatll be okay right because your Govenor is not a DemocratLet me guess youre for the ladys right to choose abortion how many years did you serve,2022-09-30 23:52:41+00:00,2022,9
110021,crazy ur life could just be taken by natural disaster mother nature does not play,2022-09-30 23:52:38+00:00,2022,9
110022,Venus planet of loveWas destroyed by global warmingDid its people want too much tooDid its people want too much,2022-09-30 23:52:33+00:00,2022,9
110023,,2022-09-30 23:52:26+00:00,2022,9
110024,People who did not decide to leave the state were not not prepared We know what to do Stop trying to shame natural disaster victims for doing what were taught and told to do unless you can tell where exactly,2022-09-30 23:52:20+00:00,2022,9
110025,This is the funniest thing Ive seen all day Just imaging in the wake of natural disaster people wading through thighhigh water to strip copper wire from behind soggy sheetrock,2022-09-30 23:51:40+00:00,2022,9
110026,Fighting diseases viruses global warming and bigger storms are enough to deal with Putins rhetoric is frightening Nobody wins with nuclear war StopPutin,2022-09-30 23:51:21+00:00,2022,9
110027,Why everytime I move to a city a year later Im stuck in a natural disaster They really tryna off a Nigga,2022-09-30 23:51:04+00:00,2022,9
110028,Really Im a moderate as are most Americans and I have seen the glaciers in Alaska melting Global warming is a measurable phenomenon Oceans are warming and weather events are more severe Wake up to reality Senator,2022-09-30 23:50:55+00:00,2022,9
110029,Its literally their go to on everything Help everyone The the left wing Dims focus on race The rest of us have hearts and want everyone to be ok and be treated the same No better but definitely no worse,2022-09-30 23:50:08+00:00,2022,9
110030,where have these screwballs been Weve had hurricanes for hundreds of years of course Italy is going conservative and the world theyre sick of these liberal clowns,2022-09-30 23:47:41+00:00,2022,9
110031,A NATURAL DISASTER EVERY WEEK AND AN ECONOMIC RECESSION THE LIKES OF WHICH HAVE NEVER BEEN SEEN BEFORE you are doing amazing I love u sm,2022-09-30 23:47:22+00:00,2022,9
110032,no he asking for Federal assistance like every state that gets hit by a natural disaster If you attended college you sure didnt learn much or you seem very naive about natural disasters,2022-09-30 23:47:22+00:00,2022,9
110033,This natural disaster has given me the opportunity to stroke my male ego by posing with burly fellows in badges,2022-09-30 23:47:14+00:00,2022,9
110034,not yall bein mad that my boy monty pushed some tour dates back because of a literal natural disaster,2022-09-30 23:47:04+00:00,2022,9
110035,Between 1992 and 2017 global warming caused the loss of almost 2700 gigatonnes 2700 billion tonnes of ice from the Antarctic ice sheet including through the collapse of large ice,2022-09-30 23:47:00+00:00,2022,9
110036,The first hurricane was documented 1852GLOBAL WARMINGfor the elite,2022-09-30 23:46:48+00:00,2022,9
110037,,2022-09-30 23:45:51+00:00,2022,9
110038,1 missing about 100 lbs 2 Ive never seen him without a tie He has three modesfull suit and tie the windbreaker and khakis look he would sport to visit natural disaster area and golf attire,2022-09-30 23:45:34+00:00,2022,9
110039,Fl used to be mainly swamp Calif fires from over population Maybe Behar wants to kill all babies like China People largest cause of climate change World has too many people causing imbalance,2022-09-30 23:44:05+00:00,2022,9
110040,CNN had a banner that said Ian likely largest natural disaster in Florida history Not counting RonDeSantis I guess,2022-09-30 23:42:30+00:00,2022,9
110041,We understand your frustration Trees caused the majority of the damage due to wind gusts before the hurricane made landfall We do not reimburse for losses as the result of a natural disaster There are many agencies that are providing assistance if needed,2022-09-30 23:42:12+00:00,2022,9
110042,s insane that at least half of our country is OK with allocation of govt dollars being determined by skin color Why on Earth does a person not starting out at the same place deserve any less help when their life is destroyed by natural disaster Equity is a Marxist ruse,2022-09-30 23:41:49+00:00,2022,9
