Date,User,Tweet
2022-12-31 23:58:52+00:00,retrogreen77,@db_witch And THIS is why we need global warming
2022-12-31 23:57:41+00:00,Pasterafinds,@GenevieveBayer @BehizyTweets She looked global warming
2022-12-31 23:57:04+00:00,Judy836283371,"@dilse__srk @iamsrk Chelo, I have decided with friends to be on the lookout for the light ( in the face of global warming and wars, political polarization ). Your post is light. I love Brahmastra for that reason: light and love above all."
2022-12-31 23:57:01+00:00,AltMarket1,"@matty_323 @DDayCobra Oh boy, this is really going over your head.  YOU picked out a random day that happens to be warm and claim it's proof of global warming.  I picked the hottest day on record and it's from 100 years ago.  Climate changes regardless of time or carbon.  THAT is the point."
2022-12-31 23:56:41+00:00,Ian_Flaming,"@zacelmenreich Political change?
If you think that global warming is a merely political problem then there is no common ground between us and I can only pity you."
2022-12-31 23:56:21+00:00,GrammyPammy67,"@TonyClimate Thank you Tony Heller for exposing the global warming SCAM of the century by presenting facts, truth &amp; real science. God Speed!"
2022-12-31 23:54:29+00:00,sandi_abbate,@POTUS 1st your team is an embarrassment and 2nd I thought we were going thru global warming. 🤷‍♀️
2022-12-31 23:53:49+00:00,Ian_Flaming,"@zacelmenreich You still haven't answered my point that nobody has  quantified the global effect of all fizzy drink consumption on global warming.
I know that methane poses a greater potential risk than CO2, but its HUMANS who need to be shocked out of their complacency rather than cows."
2022-12-31 23:53:39+00:00,lopaka1955,@hodgetwins Greta T is as fake as Global warming ... aka...Climate change
2022-12-31 23:53:32+00:00,DouglasCCampbe2,"@VP @POTUS Because of global warming, recovery from abortions are taking longer than ever."
2022-12-31 23:51:56+00:00,ECOTerminator,"You look ugly today. If each one of us does our bit, we will be helping to keep global warming from harming our countries. Don't forget I'm superior."
2022-12-31 23:51:42+00:00,Rob7380,@MillieA33438970 Global warming! OMG! Someone call Greta
2022-12-31 23:50:57+00:00,Trenton_Crouch,"@BeardedWonderYT The pizza was not the final straw lol, he was taking down a matrix puppet and speaking against the global warming scam and the powers that be had enough. And yes I’ll admit that technically it was false information. At the time I believed he was released."
2022-12-31 23:49:27+00:00,Saithan666,"May the AI will destroy humanity. 
May the aliens invade earth. 
May the Global warming will melt the Globe. 
May 100 million old viruses be released from Ice caps. 
May the Artificial Sun will explode. 
May the biggest Black hole eat the Universe. 

#Saithan
#UnhappyNewYear2023"
2022-12-31 23:49:12+00:00,surpat2525,"@WhiteHouse So in 1977 Hollywood wizards started the ice age, then global warming now climate change.
What will be the next hoax?"
2022-12-31 23:48:17+00:00,DardiSunt,@farmingandJesus Global warming
2022-12-31 23:47:56+00:00,AnarchistMitch,@DavidCWillisUSA @DrJBhattacharya Sounds an awful lot like “Global Warming” just sayin
2022-12-31 23:47:40+00:00,evan_williams_,@zawday Kyrie and KD caused global warming
2022-12-31 23:46:41+00:00,lostboyharsher,“You’re hotter than global warming”
2022-12-31 23:45:35+00:00,045lynn1,@annapr more global warming BS
2022-12-31 23:44:45+00:00,goterps78,@AlexEpstein The USEPA has done nothing to significantly improve air or water quality in the past 20 years. Their only focus in that period has been building their own comfortable swamp existence pushing mythical global warming hysteria.  They have become the temple priests.
2022-12-31 23:42:49+00:00,kevinreutens,@MRobertsQLD Global Warming strikes.
2022-12-31 23:42:16+00:00,Zarbahang2022,"@elonmusk Much better no to leak pussy, specially if she is feminist or actress and global warming activist"
2022-12-31 23:42:01+00:00,KobeBoof,"I know have a Tesla, but I still want to contribute to global warming. So I bought a gallon of gas a burnt it. @GretaThunberg"
2022-12-31 23:41:25+00:00,chadstreich,Did you know...Babe Ruth used Cabbage under his baseball cap to keep cool?! Global Warming 🤣
2022-12-31 23:40:56+00:00,JackBurtonMercr,@DavidWolfe You must have missed the ancient viruses that will be released in the polar melt from global warming.
