Date,User,Tweet
2022-02-28 23:59:58+00:00,frank3davies,@sarahpegg9 It was in the cold war - cuba etc - &amp; high inflation. But it isn't easy now especially since nuc lear added to global warming.
2022-02-28 23:59:43+00:00,DebbieLavigne3,@kilmeade This entire propaganda on global warming needs to stop. They've silenced thousands of scientists who truly are experts in their field. This is ludicrous.
2022-02-28 23:59:36+00:00,markbbean,@GOP Hey that's our major problem? global warming?! what Putin's doing is just keeping the country distracted from all his failures and Putin is destroying global warming as he keeps on bombing! Do some fixing of that Joe blow produce all the gas we possibly can now-&amp;rid the🌎of Putin
2022-02-28 23:59:07+00:00,ReggieSummers5,"The past two years we didn't hear crap about global warming. All the sudden its back in time for the midterms and of course worse then the ""experts"" expected. Lamestream media and the Libs don't have a single accomplishment to run on so bring out the fear of extinction. LOSERS!"
2022-02-28 23:58:45+00:00,holisticbtc,@Watchman_motto If you had to suddenly evacuate your home due to invasion or natural disaster how much of your wealth could you take with you?
2022-02-28 23:58:36+00:00,iamjosephlee,@HaraldSchmutz @Ericballi @jordanbpeterson How about global warming?
2022-02-28 23:57:45+00:00,suleymanbaltr,"@DylanLeClair_ i wanna call it ""replacing of people's trust in fiat currencies to crypto currencies because of being not able to access your wealth in centralized banks/entities during a war/natural disaster and being able to take ur crypto to anywhere in the world with no fear of losing it"""
2022-02-28 23:56:38+00:00,rcn400,Grim news about global warming today. Strange that something so critically important is a political football.
2022-02-28 23:56:28+00:00,moonfur_101,global warming is real
2022-02-28 23:56:16+00:00,steveat31545038,"@pocockdavid The worst of the global warming (the original term b4 denialists diluted to climate change) report is soon NOT even adaptation will be achievable, let alone mitigation."
2022-02-28 23:56:05+00:00,SeymourStrange,"things to worry about now include:

global warming
energy and fuel price rises
Brexit
Covid
Boris f*kin Johnson and his cronies
and nuclear war.

and it's still only Monday.😰"
2022-02-28 23:54:49+00:00,heartandsoulbot,"Venus, planet of love
Was destroyed by global warming
Did it’s people want too much too?"
2022-02-28 23:54:43+00:00,mbetts,"@StotenLee @AaronBastani It was the result of an election last September, the result of which was at least partially informed by the floods last July: the deadliest natural disaster in Germany since the North Sea flood of 1962."
2022-02-28 23:54:08+00:00,GOKINGSGO100,@GovRonDeSantis @FLGuard But he never hesitated to send aid to Florida after a natural disaster.  You will@never be president and the former guy is already 💩ING on you.
2022-02-28 23:54:07+00:00,brettparks111,"@RNBreakfast @CroweDM Global warming? Lack of rain? Icebergs melting? So that didn’t work, so let’s now say ‘climate change’… You lefties are screwed."
2022-02-28 23:53:54+00:00,NewJeffCT,"@JoJoFromJerz I'm petty, so I think the next time there is a natural disaster in Florida (besides DeSantis, I mean), Biden should tweet out that he is rejecting the request."
2022-02-28 23:53:41+00:00,TTTMediaXR,"@ITVNews at Ten covered the IPCC report at the end of the program.

""Impacts of global warming are now irreversible, but it is still possible to avoid the worst of what climate change will bring.""

Not if the media fail to give it due prominence."
2022-02-28 23:52:46+00:00,eun_woojin,"Which Natural Disaster u WISH We didn't Had on this Plant earth..

💙Follow Me 
🖤1,000 votes 
💚#earthquake #hurricane #tornado 
❤️I Wish we didn't Had earthquakes on this earth
🤔Tell Why u Don't want one following on this planet....."
2022-02-28 23:52:46+00:00,TerriFalbo,"@JuuustinBrown They’ve known about global warming for decades - but done nothing. 1% uses more than 2X the bottom 50%. Instead of cut back, they consider exploding an asteroid to block the Sun (or nuclear winter?) &amp; extreme luxury underground dwellings to live during ‘unrest’"
2022-02-28 23:51:24+00:00,goIdeneggs,"@mscomicsans found the extension, thank u so much. im so tired of seeing global warming cuz it makes me anxious and scared"
2022-02-28 23:51:04+00:00,AusNewsNetwork,"#NSWFloods | 

🔺26 Evacuation Orders are in place
🔺5 Evacuation Warning in place affecting 300,000 people. 
🔺1,000 flood rescues carried out by @NSWSES
🔺17 Council Areas in #NSW under a ‘Natural Disaster Declaration’ 

NSW Premier, @Dom_Perrottet says."
2022-02-28 23:50:55+00:00,FeggoulisGeorge,They're moving on from Covid and now they're starting again with the global warming hysteria.
2022-02-28 23:49:41+00:00,lawrence_kirkby,"@NYbornRobin You need to just stop with that kind of weather report lol ,Six feet of snow and still in the minus temperatures , just not fair , global warming"
2022-02-28 23:49:39+00:00,maura_willing,"@GovRonDeSantis @FLGuard Well then, I hope you won’t expect federal help when you have your next natural disaster. But of course Biden will provide it because he isn’t petty like you."
2022-02-28 23:49:36+00:00,mabehr,"@john_sipher Does Putin care about… the world? When told about Global Warming, Trump’s response was “what do I care? I won’t be around then.” I hate to think Putin has a similar attitude."
2022-02-28 23:49:29+00:00,19kfish,"@audible_com @TheWalkingDead Is it titled ‘Pandemic’?, ‘Global Warming?’ or ‘WWIII’? Oh wait: that’s not tv."
2022-02-28 23:48:22+00:00,SriGarapati1,"@Anirudh80113931 @VeganProphet @drvandanashiva Thanks for sharing; Yes. The people attacking cow milk &amp; saying cows are the cause of global warming don't even have neuron size wish for healthy life &amp; the planet but wish to shepherd people to chemically processed lab milk. As replacing milk is not possible, continue the same."
2022-02-28 23:47:58+00:00,Michaelwhitin64,@CommonsSpeaker I’m pleased.  The light show is great.  Don’t forget the global warming.  Just one thing: would you mind standing with the UK citizens at some point soon?
2022-02-28 23:46:50+00:00,HsuYimin,"@WSJ hmmm, does that help to reduce the global warming?"
2022-02-28 23:46:09+00:00,Ugonna06,"@OnoruCyril @Lionheart_147 @DanielRegha What do you know about global warming ?🤡🤡 When a fridge in America consumes more energy that a household of 3bedroom flat in 9ja , but you dey shout global warming here. 🤡🤡"
2022-02-28 23:45:48+00:00,EPOC16,"@TheLaurenChen It will... If we nuke the shit out of the planet, we all die off and in a few thousand years, global warming solved."
2022-02-28 23:45:47+00:00,FrancoisMaatou1,"Who ever Putin doesn't kill. The
global warming will.The Repub- licans maintain, not true
They all will be taken ahead of us
Thank God, finally
some justice."
