Date,User,Tweet
2022-09-30 23:59:14+00:00,MStarkloff,If I see another political tweet saying floridians deserve this. I will lose my shit. I cannot deal with this bs on my feed. Twitter has some of the most hateful non-empathetic people on here.. Its sick. Leave your politics out of a natural disaster assholes.
2022-09-30 23:59:10+00:00,HoustonSinner,@bennyjohnson None of them have been as bad as the 1900 Galveston Hurricane for Texas.. Deadliest natural disaster in US History..
2022-09-30 23:59:00+00:00,hakirsch,"if the democrats can control the weather, then why is global warming a hoax?"
2022-09-30 23:58:32+00:00,RasputinWoke,"@the_money_list @klgro @PennyLynn3 @davidhogg111 I REALLY hope that comment is not directed at me b/c I know that infrastructure means money for things like abortion care, making vagin@s out of pen1ses  etc.  Nobody should need a ""road"".  Roads and bridges were built on white supremacy and contribute to global warming."
2022-09-30 23:58:19+00:00,MpoppEileen,@nathaliejacoby1 Global warming
2022-09-30 23:58:18+00:00,Goood_Fella,I wonder when Global Warming will get to the point where we're all in a Mad Max scenario.
2022-09-30 23:57:22+00:00,DemarcoCapone,@MikeBac88550458 That or global warming.
2022-09-30 23:57:14+00:00,LaRoja87413891,"@benonwine Seems global warming is ushering in a new ice age.
Weird! 🥶

1 for the #ClimateScam"
2022-09-30 23:56:41+00:00,brittstocks11,"$LVWR $GTII $SPY $QQQ $DIA
Hi all, my discord group is looking to take a trade in unity and donate profits from the to assist those who have been impacted by the natural disaster in Florida. Hit the link in the bio if your are interested. Share and retweet! Have a great weekend!"
2022-09-30 23:55:29+00:00,OneDuhMan,@grim_pet @MarshaBlackburn Send em all to the gulf coast states by telling them we'll let them have their own country. And then let global warming wash them out to sea.
2022-09-30 23:55:19+00:00,rczeranko,@davidhogg111 There's a difference between government control of the means of business and helping after a natural disaster
2022-09-30 23:54:51+00:00,HerneyCruz2,"@GuilletteBenot1 @CNN We can separate our expectations into issues, the environment should not be neglected, its effects are causing disasters, the whole world must work to mitigate global warming."
2022-09-30 23:54:47+00:00,wordwrap34,@jwb625 @GeorgePapa19 A natural disaster is now socialism if it's Desantis?  Wow Jay how old are you?
2022-09-30 23:54:38+00:00,m_r_s_h_n,"YES, global warming is real but blue coyotes getting married in Mark Zuckerberg's bathroom are not. Are they?"
2022-09-30 23:54:33+00:00,kizeman1,"@DonaldJTrumpJr You do realize FEMA is in Florida right now, like they are for every natural disaster. There are already funds allocated for FEMA to use"
2022-09-30 23:53:43+00:00,GovRonDuhSantis,"@GovRonDeSantis @LtGovNunez LOTS OF SMILING COPS IN THIS PHOTO.

PRO TIP: WHEN YOU ARE OUT SURVEYING SEVERE PROPERTY DAMAGE AND DEATH FROM A NATURAL DISASTER, DON’T FUCKING SMILE FOR THE CAMERA."
2022-09-30 23:53:37+00:00,ThisOnesTheMoon,@egregirls doll that lives on an island nation watching global warming like :D
2022-09-30 23:53:10+00:00,Takingachanc,@sberrios5171 @GovRonDeSantis I believe all FL counties are covered under natural disaster area. This means you will be qualified for FEMA benefits
2022-09-30 23:53:04+00:00,warrior_hub,"Are YOU paying attention? In the coming weeks, gas prices will skyrocket, and the blame will be placed on the hurricane, even though everyone knows the real culprit is global warming."
2022-09-30 23:52:54+00:00,Sl9Slade,"@RubinReport DISGUSTING. To bring ""race"" into help for those suffering from a natural disaster. How can Democrats say she represents all Americans? This administration has been the MOST divisive ever in HISTORY."
2022-09-30 23:52:41+00:00,wordwrap34,"@GraenRick @GeorgePapa19 But if you're denied social assistance in a natural disaster that'll be okay right because your Govenor is not a Democrat.

Let me guess you're for the lady's right to choose abortion?  how many years did you serve?"
2022-09-30 23:52:38+00:00,BrownBoyJenkinz,crazy ur life could just be taken by natural disaster mother nature does not play…
2022-09-30 23:52:33+00:00,wordcollection1,"Venus, planet of love
Was destroyed by global warming
Did its people want too much too?
Did its people want too much?"
2022-09-30 23:52:26+00:00,tugthinktank,@Reuters Great global Warming will love this
2022-09-30 23:52:20+00:00,HanakoVibe,"@Desbearado You make a tornado shelter in an inner closet. People who did not decide to leave the state were not “not prepared.” We know what to do. Stop trying to shame natural disaster victims for doing what were taught and told to do unless you can tell where, exactly,"
2022-09-30 23:51:40+00:00,waitwhateconomy,"@DowntroddenInDC @frenchjraff @reuterspictures @carlquintanilla Thanks for that. This is the funniest thing I've seen all day. Just imaging, in the wake of natural disaster, people wading through thigh-high water to strip copper wire from behind soggy sheetrock."
2022-09-30 23:51:21+00:00,GardenCuizine,"Fighting diseases, viruses, global warming and bigger storms are enough to deal with. #Putin’s rhetoric is frightening. Nobody wins with nuclear war. #StopPutin"
2022-09-30 23:51:04+00:00,Swayy20,Why everytime I move to a city a year later I’m stuck in a natural disaster. They really tryna off a Nigga.
2022-09-30 23:50:55+00:00,Reid_Spencer,"@MarshaBlackburn Radical agenda? Really? I’m a moderate, as are most Americans, and I have seen the glaciers in Alaska melting. Global warming is a measurable phenomenon. Oceans are warming, and weather events are more severe. Wake up to reality, Senator."
2022-09-30 23:50:08+00:00,PhilGrundy07,@HeyTammyBruce Shocker the Libs turned a natural disaster into a racism issue. It’s literally their go to on everything. Help everyone. The the left wing Dims focus on race. The rest of us have hearts and want everyone to be ok and be treated the same. No better but definitely no worse
