Date,User,Tweet
2023-03-14 23:59:25+00:00,LeftistBasher,"Waiting on warmer weather to make Coronavirus go away. 
I’m gonna tell Liberals Global Warming saved us!"
2023-03-14 23:59:22+00:00,edesinw,@Urtoez75_2 @PReconciliatio1 @PaigeBernard @empresslovely69 @AkiretaHK Yes!!!! That’ll work with global warming &amp; my love of heat as well!
2023-03-14 23:58:50+00:00,feverdreamhuddy,@Lisa65853277 Global warming
2023-03-14 23:57:59+00:00,chuckmoffat,@jadejarvisTV @WPBF25News Damn global warming.
2023-03-14 23:56:13+00:00,Joy_Filled_,@RBReich They had more than two years to fix it? Why didn't they? Inept leadership? No understanding of economics? Global warming?
2023-03-14 23:55:27+00:00,sprwaverider,@FoxNews What happened to global warming?
2023-03-14 23:54:59+00:00,Sorenzo4,"@MereteVonDOE It is a hypothesized that we could end global warming quickly and irrespective of the state of CO2 pollution if we could block out about 2% of the sun's light. 

It wouldn't be particularly noticeable from Earth, it'd just work."
2023-03-14 23:54:48+00:00,madzac007,@LegendaryEnergy Totally irrelevant who cares. He does what he says and that is what matters. He will pull us out of the war and restore the economy and get us going in the right direction. Get rid of the dumb global warming crap.
2023-03-14 23:54:41+00:00,cancermoonface,"yay! she’s back!

why did this woman just tell me that it was 37° in antarctica? 37°! 

but global warming isn’t real, tuh!"
2023-03-14 23:52:44+00:00,yasukoriku1222,@TheLazyAnole That shows global warming 😖right? No wonder the Arctic ice is melting dramatically fast 😫
2023-03-14 23:51:59+00:00,AshleyAsphodel,"@transquelaag even if the doctors were somehow right, the choice to take away the free will of and kill a child is wrong. humanity choosing to keep committing the same horrors, scrabbling over power as usual, that's the disease, global warming and the cordycepts are just symptoms"
2023-03-14 23:51:50+00:00,DavidUllrich202,@JohnBai01313799 So if everyone started softening their hearts global warming would go away or is that possibility too late?
