Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@;4;;1;1995
@08Uptonpark;1;;2;279
@0marUTG;1;;3;186
@0xKruzr;1;;4;88
@1000Frolly;3;;5;55
@10kClimate;4;;6;61
@10�;1;;7;24
@11tulips;1;;8;11
@1717mule;1;;9;14
@1LegendaryMan;1;;10;5
@1VeryChillDude;1;;11;5
@1drcole;1;;12;9
@1handedfriend;1;;13;5
@1yk0s;1;;14;4
@2022Teacake;1;;15;4
@25_cycle;4;;16;7
@28delayslater;1;;17;3
@2Hugebrass;1;;18;1
@2_drac;3;;19;2
@3GHtweets;4;;20;1
@40;3;;23;1
@429jamesowens;1;;24;2
@42Gnome;1;;25;3
@44JAX44;1;;26;2
@4per1000;1;;27;1
@4tis;1;;28;3
@5_cambridge;6;;31;5
@60Minutes;10;;33;1
@6rayo0;1;;34;1
@79hfg3n3948rhf0;1;;48;1
@7YRBitchLasagna;1;;55;1
@7digitBTC;1;;111;1
@7kq201;1;;121;1
@8BrianVogel4;1;;391;1
@91996340e81d45a;6;;405;1
@971TheFreak;1;;;
@99periwinkle;1;;;
@9NEWS;1;;;
@ABAGSFBayArea;1;;;
@ABC;3;;;
@ABCReligion;1;;;
@ABCaustralia;1;;;
@ABridgen;2;;;
@ACLU;1;;;
@ADirtyRottenDog;1;;;
@ADouble777;1;;;
@AFP;1;;;
@AJEnglish;5;;;
@AJamesMcCarthy;1;;;
@AKA_RealDirty;1;;;
@ALLIANCELGB;1;;;
@ALefty123;4;;;
@ALibooss4;1;;;
@AMCTheatres;1;;;
@AMirzabaev;1;;;
@AMuseConsulting;2;;;
@ANTO_AN;1;;;
@AOC;2;;;
@AP;2;;;
@APA_Journals;1;;;
@ASI;3;;;
@ASarchus;1;;;
@AShinberger;1;;;
@ATX_PATRIOT;1;;;
@ATomalty;6;;;
@AZgeopolitics;1;;;
@AanthanurDC;1;;;
@Acon44;1;;;
@Acyn;2;;;
@AdamKinzinger;1;;;
@AdamRTNewman1;6;;;
@Adrewtate;1;;;
@AfricaFactsZone;1;;;
@AftabPureval;1;;;
@AgainMothra;3;;;
@AgentSmith_NZ;1;;;
@Aimhighffw;1;;;
"@AirResources""";1;;;
@Airbnb;4;;;
@AirbnbHelp;2;;;
@AirportUdaipur;1;;;
@AkanButNoJeezyy;1;;;
@Akilah_C;1;;;
@AkshatRathi;2;;;
@AlScottRational;1;;;
@AlanBulldor;1;;;
@AlbertJLewis6;1;;;
@Aldamir;1;;;
@AldiUK;1;;;
@AlertTrade;1;;;
@AlessandraCuff3;1;;;
@AlexBeyman;1;;;
@AlexEpstein;12;;;
@AlexMuns00;1;;;
@AlexPer51573831;1;;;
@AlexVickeryHowe;4;;;
@Alfred_StatesX;4;;;
@AllBiteNoBark88;1;;;
@Allareblessed2;16;;;
@AlohaHa59067534;1;;;
@Alphakilofury;1;;;
@AltcoinPsycho;1;;;
@AmaraSolomon7;1;;;
@AmericanMade__;1;;;
@AmlieKarl;1;;;
@AnaLuzRedux;1;;;
@AndreasSteno;1;;;
@AndrewCFollett;1;;;
@AndrewFleische7;6;;;
@AndrewOHuddle;1;;;
@AndryGiles;1;;;
@AndyPuzder;1;;;
@Andy_McLean;3;;;
@AngelRe96386095;1;;;
@AngrySalmond;1;;;
@AnindyaGraceva;1;;;
@Anna98831;6;;;
