Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@thebadstats;71;;;1;3091
@jordanbpeterson;59;;;2;506
@elonmusk;54;;;3;137
@joerogan;45;;;4;73
@TheDisproof;30;;;5;79
@Barbarajdurkin;27;;;6;26
@GeraldKutney;27;;;7;16
@Climatehope2;26;;;8;8
@DawnTJ90;26;;;9;4
@BrknMan;25;;;10;2
@MikeDel21893959;24;;;11;2
@ejwwest;24;;;12;4
@robhon_;24;;;13;2
@JohnDublin10;23;;;15;4
@Narvuntien;23;;;16;2
@POTUS;23;;;17;3
@0Sundance;22;;;18;22
@IngersolRobert;22;;;19;5
@AristotleMrs;21;;;20;1
@MedBennett;21;;;21;4
@RobMeekel;21;;;22;2
@SniemN;21;;;23;3
@Tcaddy5;20;;;24;3
@10kClimate;19;;;25;1
@Canadianworker2;19;;;26;2
@DickMackintosh;19;;;27;2
@IanDJbrown2;19;;;30;1
@SBF_FTX;19;;;45;1
@ClimatePoet;18;;;54;1
@Cypress_NL;18;;;59;1
@Fiddlers__Green;18;;;71;1
@FnAssoe;18;;;;
@GlennCarr6;18;;;;
@GuyGadboisGuyG1;18;;;;
@Kenneth72712993;18;;;;
@KimmoTorikka;18;;;;
@Kootenaybob0;18;;;;
@NoelTurner194;18;;;;
@OscarsWild1;18;;;;
@P03940098;18;;;;
@Paul4Science;18;;;;
@RijpeW;18;;;;
@TaroIstok;18;;;;
@fergy1999;18;;;;
@joe_possibly;18;;;;
@njbtweet;18;;;;
@rln_nelson;18;;;;
@rmack2x;18;;;;
@robinlarder;18;;;;
@wlbeeton;18;;;;
@HalBrow68884227;17;;;;
@StormSignalSA;17;;;;
@WayneAllanH;17;;;;
@GerardMLaw;16;;;;
@jimdtweet;16;;;;
@25_cycle;15;;;;
@All_Day_SCIfi;15;;;;
@FoxNews;15;;;;
@GretaThunberg;15;;;;
@Willard1951;13;;;;
@keithamccluskey;13;;;;
@CNN;12;;;;
@Twitter;12;;;;
@ny_gracie;12;;;;
@trussliz;12;;;;
@pauladamsalber1;11;;;;
@wkyc;11;;;;
@Robert76907841;10;;;;
@internetowner;10;;;;
@Ceist8;9;;;;
@FriendsOScience;9;;;;
@Spotify;9;;;;
@Tesla;9;;;;
@CTVNews;8;;;;
@FLSERT;8;;;;
@Nockit1;8;;;;
@PrisonPlanet;8;;;;
@RepThomasMassie;8;;;;
@RushhourP;8;;;;
@ncdave4life;8;;;;
@weatherchannel;8;;;;
@BjornLomborg;7;;;;
@Cornell;7;;;;
@MdRisette;7;;;;
@Monstercoyliar;7;;;;
@NWSBoston;7;;;;
@SkepticalMutant;7;;;;
@SkyNews;7;;;;
@TonyBaduy;7;;;;
@WinWithScience;7;;;;
@chimera414;7;;;;
@cjtjgeol;7;;;;
@doritmi;7;;;;
@glinch72;7;;;;
@insane_voice;7;;;;
@mcfunny;7;;;;
@provaxtexan;7;;;;
@AlexEpstein;6;;;;
@AndrewLazarus4;6;;;;
@ClimateRealists;6;;;;
@DavidSuzukiFDN;6;;;;
@FChecker76;6;;;;
@Jaisans;6;;;;
@JaniceDean;6;;;;
@JoeBiden;6;;;;
@JustinTrudeau;6;;;;
@KCTaz;6;;;;
@KeillerDon;6;;;;
@KevinBoston25;6;;;;
@Mark_A_Lunn;6;;;;
@MarshallCd;6;;;;
@RealCandaceO;6;;;;
@Robin_Hagues;6;;;;
@ScottMorrisonMP;6;;;;
@TransientState;6;;;;
@boston25;6;;;;
@dan613;6;;;;
@gzeromedia;6;;;;
@hausfath;6;;;;
@nytimes;6;;;;
@pcraindia;6;;;;
@thinks_about_it;6;;;;
@wtam1100;6;;;;
@1tsakeeper;5;;;;
@AGWIsHappening;5;;;;
@AOC;5;;;;
@AbsoluteGnosis;5;;;;
@B_Bolshevik100;5;;;;
@BolzmannMichael;5;;;;
@BookerSparticus;5;;;;
@BradPKeyes;5;;;;
@BridgetHolmstro;5;;;;
@CHSdoctor;5;;;;
@ChrisBBacon3;5;;;;
@ChrisPollone;5;;;;
@ClaudetteGGibs1;5;;;;
@DanteEarthboy;5;;;;
@Data79504085;5;;;;
@DeckardJodi;5;;;;
@DimitrisTzannis;5;;;;
@EricWil06256732;5;;;;
@EthonRaptor;5;;;;
@Fannyi5;5;;;;
@Gladfly1;5;;;;
@GregCoo85844909;5;;;;
@GregTruman4;5;;;;
@JSegor;5;;;;
@J_EmpyreanGoals;5;;;;
@JimeeLiberty;5;;;;
@JonathanHannah;5;;;;
@JustThi30117912;5;;;;
@LandonNTooke;5;;;;
@LibGodfrey;5;;;;
@LizHersch1;5;;;;
@MagnoliaHoney2;5;;;;
@MailOnline;5;;;;
@MartinJBern;5;;;;
@MichaelEMann;5;;;;
@NASA;5;;;;
@NPR;5;;;;
@NickMcGinley1;5;;;;
@NonlinearDarren;5;;;;
@PLHartungRN;5;;;;
@PeterMayfitz;5;;;;
@ProfMickWilson;5;;;;
@PurolatorInc;5;;;;
@RoyPentland;5;;;;
@S_D_Mannix;5;;;;
@SallyJiggles;5;;;;
@ScottAdamsSays;5;;;;
@SeamusMacSuibh1;5;;;;
@SotirisBakaimis;5;;;;
@Stephen90045069;5;;;;
@TWTThisIsNow;5;;;;
@Telegraph;5;;;;
@TheBoeAmos;5;;;;
@TommyLambertOKC;5;;;;
