Column1	Column2
@EduMinOfIndia,	47
@dpradhanbjp,	43
@DG_NTA,	39
@SCOTUSblog,	36
@POTUS,	34
@RepMTG,	34
@laurenboebert,	34
@Veritatem2021,	33
@ejwwest,	27
@glastonbury,	27
@GeraldKutney,	26
@Kenneth72712993,	26
@Stephen90045069,	26
@Robert76907841,	25
@aSinister,	24
@DanRather,	22
@AOC,	21
@GretaThunberg,	21
@priscian,	21
@MikeDel21893959,	20
@RstrixxX,	20
@RushhourP,	20
@elonmusk,	20
@BarackObama,	19
@SGMTrailbuilder,	19
@FoxNews,	18
@FriendsOScience,	18
@Mark_A_Lunn,	18
@3GHtweets,	17
@BubbasRanch,	17
@Jaisans,	17
@glinch72,	17
@BradPKeyes,	16
@Data79504085,	16
@MathewMoisture,	16
@RoelofBoer,	16
@d_e_mol,	16
@insane_voice,	16
@robhon_,	16
@AndryGiles,	15
@Ceist8,	15
@DawnTJ90,	15
@GOP,	15
@IBergwiesel,	15
@NoelTurner194,	15
@RoyPentland,	15
@fishyfish67,	15
@jimdtweet,	15
@narendramodi,	15
@AGWisScience,	14
@ClimatePoet,	14
@CryptoPaul68_2,	14
@EPA,	14
@GBNEWS,	14
@GoodCollie,	14
@Gordon_DHG,	14
@JimFish56837379,	14
@MonkeyLuminous,	14
@ScienceJustWins,	14
@WilliamNB,	14
@drochir_thonnuk,	14
@jgorman2424,	14
@w44xc555,	14
@weather_talk,	14
@LibsOwner,	13
@MailOnline,	13
@RegimeChangeBC,	13
@SenWarren,	13
@automatrix66_KC,	13
@jwickers,	13
@njbtweet,	13
@sophielouisecc,	13
@AlexVickeryHowe,	12
@JoeBiden,	12
@Neilcharles1450,	12
@RyanShead,	12
@nougatjesus,	12
@BJChippindale,	11
@BroisThomas,	11
@ChrisSteelebot,	11
@DocSnow1,	11
@FChecker76,	11
@JJJungleJim,	11
@JohnDublin10,	11
@Michael_D_Crow,	11
@MrTholian,	11
@NASAGISS,	11
@QuixotesDonkey,	11
@Sherdanack,	11
@Spencerfletch0,	11
@TomPlesier,	11
@WeRone777,	11
@ZombiePiano,	11
@fagandr1,	11
@lewbloch,	11
@luken_van,	11
@markinkorea,	11
@mentalmal1,	11
@nytimes,	11
@ozzorro1,	11
@roger_clague,	11
@sideen_dan,	11
@BlasphemousBan1,	10
@KasieTrahan,	10
@Lo_VVriter,	10
@OzzmanOsgood,	10
@PMOIndia,	10
@Roark_Architect,	10
@SkyNews,	10
@Wallisbadgerson,	10
@nypost,	10
@AP,	9
@BBCWorld,	9
@BorisJohnson,	9
@G7,	9
@GavinNewsom,	9
@IanDJbrown2,	9
@IngersolRobert,	9
@JR4_Truth,	9
@JusticeTrudeau,	9
@KeillerDon,	9
@LisaNG_Hawaii01,	9
@MartinJBern,	9
@MrMatthewTodd,	9
@SkogNymfe,	9
@Trudy72842064,	9
@TullimonstrumC,	9
@WayneAllanH,	9
@benshapiro,	9
@bobathon,	9
@maltravers2011,	9
@mattjcan,	9
@sophiefloating,	9
@verycentrist,	9
@AlexLebosz,	8
@BBCNews,	8
@ChrisBBacon3,	8
@ClimateHuman,	8
@Filippo60,	8
@IceAge2150,	8
@JonathanTurley,	8
@MarshaBlackburn,	8
@TalkTV,	8
@UNCCD,	8
@cjtjgeol,	8
@cpsavesoil,	8
@peblackstock,	8
@Anvndarnamn5,	7
@Barrtecforever,	7
@BobANDE42235496,	7
@BrknMan,	7
@C0RRECT1ON,	7
@CNN,	7
@CastorT26371809,	7
@DineshDSouza,	7
@Dirmagnos,	7
@FogYelling,	7
@GregAbbott_TX,	7
@HumbugSonof,	7
@IanHugh07940666,	7
@IcnirpMick,	7
@JosieLe62818667,	7
@LarsNewbould,	7
@LeopoldDilge,	7
@LesJohnsonHrvat,	7
@LohnJordan,	7
@MaureenStroud,	7
@OffGridTech_net,	7
@Reuters,	7
@Royalacresrod,	7
@SirFingGrumpy,	7
@SolarElectrics,	7
@TJWattPhoto,	7
@Tark4Real,	7
