Column1;Column2
@;4
@00Jdt1;1
@01ota;1
@0Sundance;11
@0li_82;1
@100trillionUSD;1
"@10DowningStreet""";1
@10News;1
@10kClimate;3
@123jillwalker;1
@13WHAM;1
@1912PVVNL;1
@1971JimboJ1;2
@1Denisewilson17;1
@1NewsNZ;1
@1SoonerRedhead;1
@1_TMF_;1
@1_largemalt;2
@1adrf;1
@1pckt;1
@1spartacusblue2;1
@1sthappysodme;3
@2020_Vision_;1
@2030orBust;1
@24OrasGMA;1
@25_cycle;15
@27Legin;2
@29rays;1
@2Dedalo;1
@2_drac;5
@350;1
@3Dmattias;1
@3GHtweets;12
@3YearLetterman;1
@43Cyoa;1
@43a6f0ce5dac4ea;1
@45SusanSC;5
@49erbacker;1
@4JOC1;5
@4Thongsandadong;1
@4cast4you;1
@4corners;10
@4eyedmonk;1
@4luvofcountry;1
@4ocean;1
@5SOS;1
@62WalterP;1
@69News;1
@69icy69chimp;1
@6lennybravo;3
@6point626;1
@776foundation;1
@777xtee;1
@78522968bg;1
@7News;3
@7NewsSydney;1
@853london;1
@8BrianVogel4;1
@9NewsAUS;2
@9NewsSyd;2
@9livez1;1
@AARP;1
@ABC;4
@ABCTV;1
@ACQ91;2
@ACTBrigitte;1
@ACUConservative;1
@AChoiHeart;1
@AD1968F;1
@ADevotedYogi;3
@AEW;2
@AEconomu;2
@AFCA_Forests;1
@AFNEWS01;1
@AFP;1
@AFPphoto;1
@AGRichard1;2
@AGWIsHappening;3
@AGW_Emergency;1
@AITA_online;1
@AITCofficial;1
@AJA_Cortes;1
@AJMendez84;5
@AJS77;1
@AJewFromJudea;1
@AJlovesyah;1
@AJtheScribe;1
@ALGOP;1
@ALLOUTOFPOT1;1
@ALefty123;3
@AMcGown;1
@AMenaceIKnow;3
@ANI;1
@AOC;13
@AP;8
@APompliano;1
@ARRO_org;1
@ASALifeline;1
@ASRA_Society;1
@ASTeacherParent;1
@AUThackeray;4
@A_Damned_smith;1
@A_Lekker;1
@Aadhoc1;1
@AaronBrotman;1
@AaronLEllis;1
@Aaronh97;1
@AbbieHa15810987;1
@AbbieKamin;1
@Abbott19Julia;1
@Abel_Balb0;1
@AboutTheHouse;1
@AbsentVote;1
@AccidentLiberty;1
@AccordoTommy;1
@Achilles_1985;1
@Ackermedic;2
@Acyn;4
@AdamBandt;5
@AdamInHTownTX;1
@AdamJKucharski;1
