Column1	Column2
@elonmusk	237
@jordanbpeterson	129
@Rainmaker1973	86
@ChrisMartzWX	63
@BjornLomborg	54
@Veritatem2021	50
@TonyClimate	48
@RealJamesWoods	43
@EcoSenseNow	40
@MatthewWielicki	37
@getpaidwrite	37
@POTUS	35
@GeraldKutney	34
@PeterDClack	32
@njbtweet	30
@MikeDel21893959	29
@PeterSweden7	29
@MartinJBern	25
@aSinister	24
@ChrisBBacon3	23
@ejwwest	23
@0Sundance	20
@GlennCarr6	20
@Stephen90045069	20
@priscian	20
@BradSchrag	19
@GretaThunberg	19
@jimdtweet	19
@josephenicholas	19
@CrispyCX	18
@Grimasaur	18
@Jagster20548365	18
@JesseKellyDC	18
@Kenneth72712993	18
@Matt_Clough	18
@MedBennett	18
@Michael_D_Crow	18
@Narvuntien	18
@NewNormality20	18
@RandolphDoGood1	18
@RealMikeDelta1	18
@SumErgoMonstro	18
@WayneAllanH	18
@aaa21usa	18
@automatrix66_KC	18
@freddie07068768	18
@mugger124	18
@organicdot	18
@ponycar06	18
@rln_nelson	18
@robhon_	18
@BubbasRanch	17
@CarrudoDon	17
@DoombergT	17
@FoxNews	17
@Moderna5G_666	17
@SZOMB	17
@shicks_sam	17
@starkicus	17
@Alyssa_Milano	16
@INArteCarloDoss	16
@JunkScience	16
@JustStop_Oil	16
@Lo_VVriter	16
@NoelTurner194	16
@PauloMacro	16
@chigrl	16
@contrarian8888	16
@wlbeeton	16
@Ceist8	15
@glinch72	15
@variegated2	15
@Climatehope2	14
@TheDisproof	14
@disclosetv	14
@mirandadevine	14
@ALefty123	12
@AlexVickeryHowe	12
@Alfred_StatesX	12
@BarnhartDooie	12
@ClownWorld_	12
@DocSnow1	12
@Ecotainment_YT	12
@FLastrade	12
@Frankd06830	12
@IanHugh60034595	12
@IceAge2150	12
@JJJungleJim	12
@JackJsherebkin	12
@LesterDent	12
@Robert76907841	12
@RstrixxX	12
@SageThinker99	12
@Spencerfletch0	12
@TuckerCarlson	12
@USNA_73	12
@Wallisbadgerson	12
@WernerReinhard5	12
@berry_hardman	12
@cbeckj	12
@choosefreedomf1	12
@mac_an_ghoill	12
@markinkorea	12
@ozzorro1	12
@realJohnJHoward	12
@ronkonoma	12
@talipes	12
@toddynd	12
@BernaB_2013	11
@ECOWARRIORSS	11
@benmooreau	11
@cmcateer3	11
@drochir_thonnuk	11
@insane_voice	11
@keithamccluskey	11
@tedcruz	11
@tintreg	11
@toadmeister	11
@AndryGiles	10
@CNN	10
@GBNEWS	10
@GOP	10
@GOPLeader	10
@GreyFoxRob	10
@JimBlack48	10
@JoeBiden	10
@Lauratobin1	10
@Skrued1	10
@ZombiePiano	10
@algore	10
@goingglocal	10
@realDonaldTrump	10
@stillgray	10
@tanya_plibersek	10
@All_Knowing_Bio	9
@AntifaRaising	9
@EndWokeness	9
@FredHikes	9
@Glonvec_PR	9
@IanJaegerNPC	9
@IngersolRobert	9
@KeillerDon	9
@MhehedZherting	9
@RepMTG	9
@WeRone777	9
@aDissentient	9
@peblackstock	9
@ylesine34440870	9
@AreYouDerp	8
@BenjaminYumi8	8
@Bos77	8
@BrianTu85458331	8
@ClimateSkeptic4	8
@Climate_Takes	8
@Convict025	8
@DawnTJ90	8
@EDavidAn	8
@FChecker76	8
@GeorgeMonbiot	8
@GrahamKirk17	8
@HgoKrger1	8
@HiFiWhiPhi	8
@JackPosobiec	8
@JamesMelville	8
@JuliaHB1	8
@LemarbreStephen	8
@LesJohnsonHrvat	8
@Mike8Wallace	8
@MorseBart	8
@PDemichel	8
@PorchProgram	8
@RHMcK1	8
@RStabb26	8
@Rebecca74083947	8
@Robin_Hagues	8
@Sasquatch4eva	8
@Tesla	8
@TheRabbitHole84	8
@WHUT	8
@WhiteHouse	8
@canncr	8
@coug62	8
@explosive_pengu	8
@fischerfischy	8
@j70def	8
@jgorman2424	8
@johnson_wrjohn1	8
@jwickers	8
@la6uoa	8
@lyndon_staley	8
@nikkiboy180	8
@outsanest	8
@quieroserabuela	8
@rpini	8
@suffect	8
@tan123	8
@verycentrist	8
@yeg_sewer_rat	8
@	7
@2Begone	7
@BJChippindale	7
@BlasphemousBan1	7
@BostonGlobe	7
@DarAdal25747451	7
@EdBohman	7
@Jeffrey75327765	7
@JustinTrudeau	7
@LeilaniDowding	7
@OzraeliAvi	7
@StephenKing	7
@TheStateWatcher	7
@jere7my	7
@nytimes	7
@simonahac	7
@timoteo0167	7
@AlboMP	6
@BBCNews	6
@CarnivoreMan	6
@DailyLoud	6
@Descarts11	6
@DonCheadle	6
@DustinBertag	6
@Faktantarkast10	6
@FavelaMolek	6
@HaraldVogel11	6
@JamesBradleyCA	6
@Michael94173566	6
@NEWSMAX	6
@Newer_Deal	6
@PierrePoilievre	6
@Scary7Dr	6
@UncleChopperRIP	6
@WSJ	6
@Westerly110	6
@bartholomewtali	6
@dirk_fasshauer	6
@joncoopertweets	6
@mattyglesias	6
@pauladamsalber1	6
