Column1	Column2
@GovRonDeSantis	197
@POTUS	92
@FoxNews	79
@DanRather	55
@ActionNewsJax	52
@JBrewerBoston25	45
@benshapiro	39
@WxBrenn	35
@bennyjohnson	35
@MesoMax919	34
@CNN	33
@NickAdamsinUSA	33
@JoeBiden	32
@RonDeSantisFL	29
@wyonaf	29
@JoyAnnReid	27
@joncoopertweets	26
@ClimateHuman	24
@BillWeirCNN	23
@weatherchannel	23
@CaseyDeSantis	22
@GOP	20
@MSNBC	20
@toadmeister	20
@BigJoeBastardi	19
@JoJoFromJerz	19
@Timcast	18
@davidhogg111	18
@mmpadellan	18
@BillyJonesGolf	17
@GovernorKayIvey	17
@FLSERT	16
@PitbullRedhat	16
@Equityoyo	15
@GovBillLee	15
@LouisianaGov	15
@elonmusk	15
@voxdotcom	15
@25_cycle	14
@AmoneyResists	14
@JunkScience	14
@TuckerCarlson	14
@donlemon	14
@lavern_spicer	14
@mikebettes	14
@thereidout	14
@AP	13
@kenolin1	13
@nytimes	13
@ABC	12
@OccupyDemocrats	12
@__Pfeiffer	12
@morethanmySLE	12
@BlasphemousBan1	11
@ChoooCole	11
@DawnTJ90	11
@LofayPeter	11
@Sean_Breslin	11
@IngersolRobert	10
@KeillerDon	10
@MikeDel21893959	10
@Robert76907841	10
@Royalacresrod	10
@RusPugs	10
@SocDoneLeft	10
@Stephen90045069	10
@TristanSnell	10
@fema	10
@johnson_wrjohn1	10
@newsmax	10
@2still_learning	9
@BrknMan	9
@C0RRECT1ON	9
@CBSMiami	9
@CCross1776	9
@EasySimon	9
@Galileo62303273	9
@GreyTash	9
@HenrikHindby	9
@IanHugh07940666	9
@JafSupO	9
@JohnPisulaMBA	9
@JsharkJill	9
@LakotaMan1	9
@LorraineAllans1	9
@MartinBrampton	9
@MattWalshBlog	9
@MingleDandy	9
@MusicFrom90	9
@OffGridTech_net	9
@RyanAFournier	9
@Sasha67Oz	9
@Tark4Real	9
@Tcaddy5	9
@Tom575935021	9
@TremmelSteve	9
@WernerReinhard5	9
@ben8beans	9
@cjtjgeol	9
@freddie07068768	9
@ianbrow97534170	9
@ina_warrior	9
@jasoncloninger	9
@markp1950	9
@nellslad	9
@nick_advice	9
@ocschwar	9
@rfeynmansBongos	9
@weberj502	9
@Broncomaniac65	8
@CBSNews	8
@CTVNews	8
@GovDeSantis	8
@IanDJbrown2	8
@JustinTrudeau	8
@Logically_JC	8
@MaddowBlog	8
@RexChapman	8
@TheDemocrats	8
@Vulcan_hobo	8
@WhiteHouse	8
@cjmoose	8
@itsbethbooker	8
@kyrocoyote	8
@tedcruz	8
@wlmaish	8
@BarryOnHere	7
@BradHabuda	7
@ChristinaPushaw	7
@DefiantLs	7
@GretaThunberg	7
@LuboTalks	7
@MarshaBlackburn	7
@MikaelBenBaruch	7
@NFL	7
@NLaurenTV	7
@NoLieWithBTC	7
@PeterObi	7
@RealCandaceO	7
@SenTedCruz	7
@Shadowzerg	7
@TheView	7
@backtolife_2023	7
@disclosetv	7
@mike_maric	7
@nogulagsagain	7
@	6
@Breaking911	6
@CogitoInGa	6
@GeraldKutney	6
@NHC_Atlantic	6
@NormOrnstein	6
@QuoteDigging	6
@SleepsWithDogs1	6
@Tesla	6
@TimRunsHisMouth	6
@UniversalORL	6
@WI_MrElie	6
@elpeezey	6
@itsJeffTiedrich	6
@jamusp	6
@ksorbs	6
@mail_american	6
@marcorubio	6
