Date,User,Tweet
2022-03-31 23:58:39+00:00,Timchuck05051,"@GioBruno1600 Trans is the latest distraction.  Add it to BLM, antifa  , covid  , residential schools, global warming  , climate change  , etc. We all need to stay focused  !"
2022-03-31 23:55:51+00:00,TheManFlake,"@MavenBrodie @IndexRover @Vibrantankles @Ch_JesusChrist @Plural_Prophet @jcoreehahn It's a church first, every single natural disaster or helps with. It helps with all other sorts of things. It's ok for an organization to be rich."
2022-03-31 23:55:28+00:00,emmaBT1D,@putlittlelove Global warming really said I'm the star if the show
2022-03-31 23:54:57+00:00,Angela14777869,@MeghanMcCain Your party doesn’t believe in global warming…
2022-03-31 23:54:47+00:00,EelZebra,@RyanF2TheW1989 Al Gore = Global Warming is real. George W Bush = Clean Coal is a thing.
2022-03-31 23:53:51+00:00,neeksbot,"Venus, planet of love, Was destroyed by global warming. Did its people want too much too?"
2022-03-31 23:53:36+00:00,cgreany930,"@DoktaFoth I honestly thought it was in case we got attacked or there was a natural disaster or something like that, but I guess it’s just me 🤷‍♀️"
2022-03-31 23:51:39+00:00,capripoppies,and then freeze is what if you fell in love and also you had superpowers and global warming exists and it’s a pandemic
2022-03-31 23:51:36+00:00,grey_TheSage,@SpaklingGracias @cpaheli That's how relationship are one more reason for global warming (toxic I mean to say) 😂 😂 😂 😂 😂
2022-03-31 23:49:16+00:00,ECOTerminator,"Get up soldier. Only by planting trees, we will be able to overcome global warming. Unbelievable!"
2022-03-31 23:48:30+00:00,NazariLaw,"@inceIIe ""early spring"" so nowish or soonish. But you know, global warming, soooooo"
2022-03-31 23:47:48+00:00,scottishbi_girl,@EvanEdinger Global warming….?
2022-03-31 23:46:27+00:00,drivandalism,"@bclendinning If we depend on markets, we will never solve the problem of global warming. If we rely on fanciful and expensive technological solutions to solve the problem, we will never solve it. If we rely on solutions for which minerals are scarce, we will never solve it."
2022-03-31 23:45:19+00:00,PureQuestioner,"@whstancil Telling people that insulated, that comfortable and that old that we have an existential crisis is like talking up Global Warming at a monster truck rally.

3/3"
2022-03-31 23:45:10+00:00,fagdaughter,"Venus, planet of love
Was destroyed by global warming
Did its people want too much, too?"
2022-03-31 23:39:11+00:00,ECOTerminator,"You look ugly today. Only by planting trees, we will be able to overcome global warming. stoopid"
2022-03-31 23:38:16+00:00,j_shibs,@sullyfoto All part of the plan to convince people Climate Change (a.k.a. Global Warming) is real.
2022-03-31 23:38:15+00:00,esoneuto,"@EmojiMashupPlus ""It’s freezing out here, where the hell is global warming?"""
2022-03-31 23:37:52+00:00,dripachu,Global warming my ass
2022-03-31 23:37:51+00:00,PaperM00nsTV,@Ime69420 Thats just global warming
2022-03-31 23:37:18+00:00,FrankAr55210849,"@AOC Now would be a good time to 
Impeach  Clarence Thomas 

Prosecute the 1/6 conspirators 

Strengthen Nato

Tax the rich

Help form labor Unions

Fight global warming 

Move to renewable energy. 

Enough with student debt. 
Yeah it would be great but how about something else?"
2022-03-31 23:37:15+00:00,Hi_There_How,"@fateCEOavi Chess, but the opponent doesn’t know how to properly play chess and then they shake the board when they realize they are losing and blame it on a natural disaster"
2022-03-31 23:34:58+00:00,viavelox,"@CBmesonet @TorenWX Yeah, I can see that scenario. Is it possible there's increased amounts of cooler water in spring from arctic ice melting flowing into the Atlantic littoral acting to counteract any global warming trends here?  By the fall that effect is gone and warming temps prevail."
2022-03-31 23:34:18+00:00,ChinookTheWolf,@spottyafterdark Are those the global warming stripes on your undies?
2022-03-31 23:30:47+00:00,DumbFacts5,did you know that global warming is blue
2022-03-31 23:29:01+00:00,ECOTerminator,"Ay yo ma Only by planting trees, we will be able to overcome global warming. It's so simple,"
2022-03-31 23:26:47+00:00,chriskrokshow,@NickGale_WLS @ramblin_ray It's that global warming!
2022-03-31 23:20:30+00:00,cbc1334,"@DitkaMoose @Pmo125 @CarmenDeFalco He’s a “progressive” so there you go. We are always going to be killed by something. Covid, global warming, Trump, white supremacy, human hunting cops, blah blah blah…"
2022-03-31 23:19:51+00:00,SC_Towny,@WPSU No worries ….  Global warming will save the day
2022-03-31 23:19:38+00:00,KelenicRevival,@GaryGensler is too busy figuring out how many cocks he can put in his mouth before it contributes to global warming then about the stock market and enforcing rules and regulations. Prove me wrong.
2022-03-31 23:17:51+00:00,h8gsoul,i’m a natural disaster
2022-03-31 23:17:07+00:00,ltgrusselhonore,"About to speak at Rise St James , Youth Fair , to save Mother Earth from global warming and Climate Change . @GreenARMY_La “ we must find solutions for pollution “. #risestjames . Great Turn out beautiful evening.@EPAregion6 @EPAMichaelRegan @SierraClub"
2022-03-31 23:15:43+00:00,tommydf27,Global warming???????????
2022-03-31 23:15:22+00:00,void_hearted,"venus, planet of love, was destroyed by global warming. did its people want too much too? did its people want too much?"
2022-03-31 23:14:33+00:00,Origi_Aaronski,@roadpoliceBCH Be that global warming.
2022-03-31 23:13:14+00:00,Grace75646541,In 27 years from now the moon will be underwater due to global warming and we will be incredibly scared. What a delightful time that will be! What will be next? 🤣💩🌂🕴🏼
2022-03-31 23:12:28+00:00,cortessamuel,@Lithunium_Snow Global warming 🤷🏻‍♂️
2022-03-31 23:12:27+00:00,hspriorityx,The music industry has in fact been saved global warming has been reversed the world is healing #AsItWas
2022-03-31 23:10:57+00:00,ucannottrickme,where’s the global warming gone ? it’s FREEZING
2022-03-31 23:10:32+00:00,GreenDay_Robot,"She’s a natural disaster, she’s the last of the American girls."
2022-03-31 23:07:03+00:00,whatsrealhere,"@potato_man_123 @verge There's polluting w/any form of energy but once the battery's made it works for years much cleaner &amp; cheaper than oil &amp; coal which pollute their entire life &amp; cause global warming.
Better, cleaner jobs; w/coal you get mesothelioma"
2022-03-31 23:06:47+00:00,calga7,@WisdenCricket bloody global warming!
2022-03-31 23:06:26+00:00,jeezypzyfreezy,"If global warming is causing all the ice to melt and oceans to rise then why do all these cargo ships get stuck, hmmm? Captions must be getting worse, the course is decreasing in difficulty. #everforward"
2022-03-31 23:06:12+00:00,James74870463,@CrambazzledTask Global warming....greta thumberg and the protestors never come out when it's cold
2022-03-31 23:05:21+00:00,MattKMacMillan,@CBCNews “Global warming” is a natural phenomenon and humans have little impact on it one way or another. This is just the next narrative in the series
2022-03-31 23:01:38+00:00,bw_grantham,@GlennBurnsWSB global warming is a hot topic among the thinking impaired. Thanks for the boldness to say what you did at the end of the show.
2022-03-31 23:01:31+00:00,Rightsof_Man,"@SenWarren We could be transitioning, promoting, and offering flexibility for stay at home work.  It would help with:

1. Reducing demand for gas
2. Global Warming
3. Curbing Covid"
2022-03-31 23:00:56+00:00,DumbFacts5,did you know that global warming is slow
2022-03-31 23:00:13+00:00,oscar0davis,"I’m working on argument and need some empirical work: has there ever been a species which has become extinct due to another species which a) was not an introduced species and b) was not helped by some third factor (humans, disease, natural disaster)?"
2022-03-31 22:59:07+00:00,Zebratown23,@CryptoWhale No such thing as global warming you soyboy. Look at earths history of temperature. It is a cycle
2022-03-31 22:57:30+00:00,Raggmuff,@CallMeLuis_ Because if they did. It would expose the scam of Global Warming. It would show the Sun effects the Clumate and not humans.
2022-03-31 22:57:16+00:00,771klcraddoc,"The price of gas can be influenced by things like wars, natural disaster, pandemics where travel is shut down &amp; refinery fires, but most often it has more to do with the oil companies &amp; their desire for profit."
2022-03-31 22:53:16+00:00,artsy_cows,"""you know we could fix global warming if we blew up the sun""
          -Technoblade, an intellectual"
2022-03-31 22:52:57+00:00,cleverlike,"@Mrs_Harrison300 Since this version of the game is open-ended, there is no reset. A natural disaster will end the game, so simply start a new world to try again. We'll make sure to add a message in the next game update."
2022-03-31 22:52:22+00:00,chel_c_cam,"I bought a compost bucket so I’m pretty sure that pesky global warming should be taken care of soon
(this is a joke)"
2022-03-31 22:50:21+00:00,AtPhilHunter,"“How is global warming real when it’s snowing in April?” 

They say, almost - but not quite, getting it."
2022-03-31 22:50:15+00:00,CUNYAdjunctProj,"@DarkMark They literally brought in their emergency management team. The same team that dealt with droughts and tornadoes, considering 300 unexpectedly showing up to the fight was treated as a natural disaster in some ways. (6/x)"
2022-03-31 22:50:14+00:00,MarkThorndyke,"@bryonydaviesxo I've been told to avoid winter by doctors (cold, wind etc) due to damaged facial nerve. They like the idea of winter migration to help but cannot fund it. Genuine - it hurts. So I understand. Enjoyed spring coming along but suddenly global warming....my arse these past few days"
2022-03-31 22:49:43+00:00,vani3y,global warming where are you man? We freezing out here damn
2022-03-31 22:48:54+00:00,padab,"With all the shit going on in the world today from global warming, First Nation children from terrible residential schools from the past to the horrible fighting in Ukraine. I’ve started watching Shakespeare plays/films. I’ve booked my first ever ticket to Stratford Festival"
2022-03-31 22:47:16+00:00,1_B_Lotto,So in school they teach u that one day the sun will eventually swallow the surrounding planets as a result we move closer to the sun every year with the gravitational pull n all so that accounts for global warming so y’all should focus on pulling earth away from the sun then
2022-03-31 22:44:24+00:00,b10hazrd,@beanspleen_ ???? half the time i think its too hot and global warming should end and then the next day its pouring rain like hello
2022-03-31 22:43:59+00:00,TwistedKelpie,"If they build Britain’s new nuclear power stations on the coast again, then  they don’t really believe in global warming and rising seas . Look out for this ‘tell’"
2022-03-31 22:43:14+00:00,Grace75646541,In 10 years from now trees will be underwater due to global warming and we will be SO happy. What a shocking time that will be! What will be next? 🐞🤘🏼💋 😱
2022-03-31 22:41:35+00:00,TorukMakto100,@Carlosxl7life please answer this and yes I’m really asking so please answer: who told you global warming is real?
2022-03-31 22:40:34+00:00,Curiousferret1,"@GhostofThaddeus Easiest way to avoid market manipulation would be to restrict the contracts for the finished projects to goverment use only.

But an emergency clause should be in effect should one of the other private refineries go down from accident, natural disaster, or terrorist attack."
2022-03-31 22:37:13+00:00,Emilie_Bouch,@ASokato @PhdRachel I mean Democrats we’re constantly bitching and moaning about Trump. All the man had to do was breath and everyone blamed him for global warming
2022-03-31 22:36:00+00:00,bedrockbro,or was it global warming or smth OMG I HATE ENGLISH FCK ENGLUSH
2022-03-31 22:32:26+00:00,Goldtrader67,@RepRoKhanna @POTUS I am so against any President releasing oil from the SPR.   This is for a Natural disaster or War.
2022-03-31 22:31:19+00:00,mancgas,To maintain pipes and mains transformers etc whist in this 3 yr period prices stabilise or a sensible plan can be put together. Delaying U.K. rush to global warming targets is estimated to only delay 1% of the effectiveness of the effort.People dying cold will cost World far more
